,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
9,Argentina,ARG,,,,,,,,,,,1.4580899477005,,1.93620002269745,1.78051996231079,1.92351996898651,1.84360003471375,1.16563999652863,1.71984004974365,1.93554997444153,2.4002799987793,2.60715007781982,,1.59786999225616,1.61749994754791,2.56972002983093,1.36186003684998,1.261549949646,1.28229999542236,,1.04612004756927,1.06737995147705,,,,,,3.73198008537292,,4.03986978530884,4.52167987823486,4.58030986785889,4.833740234375,4.01734018325806,3.53504991531372,3.48652005195618,3.86000990867615,4.12821006774902,4.46260023117065,4.84440994262695,5.53105020523071,5.01971006393433,5.29062986373901,5.34582996368408,5.43661022186279,5.36144018173218,5.77611017227173,5.54548978805542,5.45431995391846,4.87773990631104,4.72417020797729,5.01604986190796,,,
13,Australia,AUS,,,,,,,,,,,,,,,,,,,5.99878978729248,5.88711023330688,5.64446020126343,,5.4701099395752,5.36276006698608,,5.39561986923218,5.27070999145508,5.06071996688843,4.90948009490967,4.74096012115479,4.66854000091553,4.7863302230835,4.68387985229492,5.50633001327515,5.24494981765747,5.13413000106812,5.23099994659424,,,,4.88731002807617,,,,,4.89851999282837,4.74065017700195,4.65621995925903,4.63278007507324,5.08451986312866,5.54303979873657,5.06995010375977,4.86787986755371,5.22923994064331,5.1646900177002,5.31583976745605,5.28623008728027,5.13680982589722,5.12344980239868,5.13531017303467,6.09999990463257,,,
14,Austria,AUT,,,,,,,,,,,4.14716005325317,4.28235006332397,4.45015001296997,4.51547002792358,4.65594005584717,5.12796020507813,5.23765993118286,4.95401000976563,5.1597900390625,5.03815984725952,5.00896978378296,5.36780977249146,5.36298990249634,5.30378007888794,5.29446983337402,5.29721021652222,5.49995994567871,5.3761100769043,5.19073009490967,5.01816987991333,4.95725011825562,5.10321998596191,5.2969799041748,5.2519998550415,,5.42834997177124,5.25990009307861,,6.10374021530151,6.11233997344971,5.58880996704102,5.57547998428345,5.52213001251221,5.36183023452759,5.30243015289307,5.24937009811401,5.22652006149292,5.14690017700195,5.26395988464355,5.73024988174438,5.70047998428345,5.59226989746094,5.48040008544922,5.54711008071899,5.44761991500854,5.45658016204834,5.4796199798584,5.37159013748169,5.22452020645142,5.21291017532349,5.07000017166138,,,
15,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05797004699707,,,3.33736991882324,3.51256990432739,,3.38001990318298,4.21214008331299,3.85399007797241,3.50342011451721,3.15445995330811,3.2861499786377,3.44770002365112,2.97462010383606,2.55552005767822,2.5492799282074,2.44092988967896,3.22430992126465,2.78062009811401,2.43564009666443,2.06763005256653,2.44213008880615,2.63303995132446,2.95167994499207,2.90340995788574,2.47381997108459,2.45543003082275,2.68108010292053,4.33204984664917,,,
16,Burundi,BDI,,,,,,,,,,,,,,,,,,,,2.80335998535156,,3.34676003456116,,,,,,,,,3.35932993888855,3.49365997314453,3.8058500289917,,4.565269947052,5.01511001586914,4.08324003219604,,,3.41744995117188,2.64547991752625,2.90390992164612,3.00493001937866,,3.74496006965637,3.632159948349,,,5.19290018081665,6.17194986343384,6.77524995803833,6.31925010681152,6.16786003112793,5.99535989761353,6.78452014923096,6.37054014205933,4.69199991226196,4.76202011108398,5.07864999771118,5.34668016433716,5.04097986221313,,,
17,Belgium,BEL,,,,,,,,,,,,,,,,5.76281976699829,5.73104000091553,5.98883008956909,5.43633985519409,5.38035011291504,5.31063985824585,5.4353199005127,5.31673002243042,,,,4.85229015350342,4.57712984085083,4.30072021484375,,,,,5.37231016159058,5.41103982925415,2.98866009712219,3.04947996139526,,,,,,,,,5.79585981369019,,,6.33294010162354,6.45809984207153,6.44259023666382,6.43199014663696,6.25576496124268,6.63052988052368,6.59046983718872,6.4515700340271,6.46173000335693,6.42534017562866,6.38137006759644,6.33975982666016,6.71000003814697,,,
20,Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,1.13092994689941,0.937600016593933,1.07149994373322,1.01163995265961,1.03267002105713,1.22302997112274,1.27118003368378,1.34349000453949,1.51364004611969,,,1.51911997795105,1.42566001415253,1.63177001476288,1.69262003898621,,,,1.95246994495392,,2.13281989097595,2.12508010864258,2.17193007469177,2.01714992523193,2.06939005851746,1.94014000892639,,2.13128995895386,2.20221996307373,2.0545699596405,1.9394199848175,,2.13269996643066,2.04667067527771,1.96616005897522,2.09871673583984,1.87225413322449,2.22119998931885,2.21661949157715,1.94795548915863,1.97184658050537,2.04921746253967,2.11938500404358,,
21,Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,3.52947998046875,,,,,,,,,,4.45406007766724,5.42961978912354,5.26045989990234,4.95048999786377,4.1706600189209,2.37207007408142,2.23007988929749,,2.73942995071411,,,3.38423991203308,3.38608002662659,3.99845004081726,2.31995010375977,4.10879993438721,3.90346002578735,3.68264007568359,4.2223801612854,4.27429008483887,3.85796999931335,3.5469799041748,3.47637009620667,4.05822992324829,4.0829291343689,3.92179489135742,3.4033100605011,4.07527017593384,4.04530000686646,4.19717979431152,4.03999996185303,,,
31,Brunei Darussalam,BRN,,,,,,,,,,,6.23915004730225,4.99501991271973,4.03928995132446,8.79329013824463,3.39270997047424,1.96133995056152,1.97008001804352,,2.11423993110657,1.54551994800568,1.1910799741745,1.61678004264832,1.69714999198914,,,,,4.73773002624512,5.40902996063232,4.69012022018433,3.95995998382568,3.66894006729126,3.74768996238709,4.29403018951416,,,,,5.25395011901855,4.9320502281189,3.70590996742249,,,,,,,,,,2.04661011695862,3.32209992408752,2.88959002494812,,3.35318994522095,,4.42540979385376,,,,,,,
33,Botswana,BWA,,,,,,,,,,,,4.38723993301392,3.90638995170593,3.2627899646759,3.67424011230469,5.64942979812622,6.06396007537842,5.40031003952026,5.95213985443115,6.14172983169556,5.46931982040405,,,5.55226993560791,5.55166006088257,5.65072011947632,5.18592977523804,6.11773014068604,6.15111017227173,,5.73963022232056,,6.84061002731323,,,,,,,,,,,,,10.6785898208618,,8.85149002075195,,9.63292026519775,,,,,,7.80650997161865,7.97483015060425,7.29974985122681,6.72131013870239,6.91437005996704,8.73999977111816,,,
