,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
2,Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,4.0,3.0,5.0,5.0,16.0,15.0,11.0,25.0,35.0,33.0,25.0,23.0,21.0,18.0,12.0,20.0,31.0,28.0,27.0,27.0,24.0,33.0,36.0,41.0,50.0,58.0,58.0,63.0,64.0,63.0,66.0,68.0,67.0,64.0,62.0,64.0,66.0,66.0,72.0,72.0,70.0,66.0,,
4,Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,8.0,10.0,10.0,12.0,18.0,24.0,26.0,21.0,30.0,27.0,24.0,28.0,41.0,47.0,21.0,31.0,42.0,47.0,46.0,47.0,47.0,44.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,59.0,59.0,56.0,63.0,57.0,51.0,45.0,,
5,Albania,ALB,,,,,,,,,,,,,,,,,,,,,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,94.0,94.0,78.0,94.0,96.0,99.0,97.0,98.0,99.0,96.0,97.0,97.0,97.0,98.0,97.0,97.0,98.0,97.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,98.0,98.0,,
6,Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,89.0,90.0,98.0,96.0,97.0,99.0,99.0,98.0,93.0,96.0,99.0,99.0,99.0,99.0,99.0,96.0,97.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,,
8,United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,11.0,45.0,43.0,50.0,59.0,76.0,78.0,80.0,82.0,84.0,85.0,85.0,86.0,90.0,90.0,90.0,90.0,92.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,92.0,92.0,92.0,93.0,94.0,95.0,96.0,98.0,99.0,99.0,99.0,97.0,99.0,99.0,90.0,96.0,,
9,Argentina,ARG,,,,,,,,,,,,,,,,,,,,,44.0,49.0,58.0,61.0,62.0,66.0,67.0,75.0,80.0,80.0,87.0,80.0,81.0,81.0,82.0,85.0,83.0,88.0,84.0,86.0,83.0,83.0,93.0,96.0,98.0,98.0,91.0,91.0,93.0,94.0,94.0,91.0,91.0,94.0,94.0,94.0,92.0,86.0,86.0,83.0,74.0,76.0,,
10,Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,85.0,86.0,98.0,86.0,88.0,82.0,91.0,93.0,94.0,94.0,94.0,91.0,90.0,87.0,88.0,89.0,93.0,94.0,95.0,95.0,95.0,93.0,94.0,94.0,94.0,92.0,92.0,91.0,93.0,,
12,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,54.0,79.0,79.0,99.0,94.0,99.0,96.0,97.0,98.0,99.0,99.0,94.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,95.0,97.0,98.0,99.0,97.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,92.0,95.0,95.0,95.0,96.0,92.0,,
13,Australia,AUS,,,,,,,,,,,,,,,,,,,,,33.0,40.0,48.0,55.0,62.0,68.0,75.0,81.0,88.0,93.0,95.0,93.0,91.0,90.0,88.0,86.0,86.0,77.0,82.0,88.0,90.0,92.0,92.0,93.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,91.0,92.0,93.0,94.0,95.0,95.0,95.0,95.0,95.0,,
14,Austria,AUT,,,,,,,,,,,,,,,,,,,,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,82.0,74.0,81.0,84.0,83.0,84.0,83.0,86.0,83.0,85.0,83.0,83.0,86.0,89.0,92.0,95.0,98.0,93.0,87.0,90.0,85.0,85.0,85.0,85.0,,
