,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
1,Africa Eastern and Southern,AFE,161.638982211816,161.111657354342,170.538537252726,198.038918725052,178.019217271171,196.818756169669,207.945573845966,210.149893724678,223.040659124942,248.44821994132,258.760362014977,277.028106576864,290.929485627729,369.782388048094,441.214101665853,455.808232737064,439.62755300869,484.274982988042,533.768074083069,598.516558313834,741.305704886249,739.098652794143,685.023457138594,694.537146574424,617.375481768169,510.414256764609,554.458042691303,656.115224805304,699.348881802578,724.754485136765,819.844295928423,869.131599394677,752.716097848535,723.802777930757,695.696584019376,764.788395310492,742.428028809833,761.231441499392,698.562840582118,671.862170523662,709.061010146892,630.198869049111,630.479082392873,816.43766222209,989.220844755067,1124.22030344619,1230.19479303066,1374.08624833358,1433.25830438865,1417.13058724797,1649.63914576854,1799.62300911306,1765.25007309797,1736.22250714845,1724.53438087977,1545.55908352233,1436.09440388982,1613.66848779126,1550.11176204468,1499.9544365215,1353.9275274008,1539.16554316986,1622.39171959406,
3,Africa Western and Central,AFW,107.423775397131,112.5038658224,118.197350638846,122.774119934314,131.163760272338,137.809817716383,143.601580819144,128.049649587039,129.123648222209,143.145552202818,194.327389860229,168.38527914121,199.319750111565,244.905282199756,331.581835147928,375.628580431775,441.401164812923,451.997204462273,479.177639502117,579.620308635455,712.426374259141,1301.957532216,1122.29030036678,806.591432964751,650.459671142166,645.828620285347,580.908731246974,580.461594693631,558.447754769758,507.740610423758,591.9896084034,556.337330034554,545.465985657053,443.597693421529,377.211746714847,460.825070660356,521.416802619087,513.050542698684,511.494584092603,526.248227046649,522.772772119317,535.897917196727,621.862504574923,700.443384123507,843.989814392726,1003.43661816797,1245.82294792284,1420.84033644779,1685.37116961232,1467.2412356052,1679.64672676436,1860.94392780989,1957.51961404941,2153.76613809455,2247.85749211781,1880.75077764461,1646.97239910395,1588.58100471239,1732.81654392311,1810.53800638238,1686.99789853738,1765.96530719796,1790.34880033979,
7,Arab World,ARB,,,,,,,,,299.969974066816,317.714251316809,349.200528375569,392.352848677378,454.732480215616,560.636241362794,1034.68876673397,1108.02276714499,1331.6965814462,1485.09905266131,1592.48174067705,2085.99791293262,2741.71041336197,2742.69618000365,2489.39489287951,2270.02407574001,2239.66513148784,2140.70236213361,2015.59886341296,2119.38468714726,1990.56489276901,2081.1789157336,2850.80154498515,2043.8661536701,2002.5976515281,1986.73119280265,2034.34569516258,2173.7260204911,2344.63546407172,2469.83416461058,2366.06381420652,2556.45171029202,2857.13272055077,2735.42540228517,2693.03777855092,2915.51368344495,3392.62016202883,4069.14941288094,4701.93113835085,5327.23454742179,6528.65029193734,5585.45610966012,6406.31381669319,6864.43418388411,7365.45684927874,7348.84954968398,7302.2503496362,6283.25602556899,6113.39773758358,6224.52297014464,6573.81696971074,6498.52903712431,5639.39873488484,6414.72561815051,7655.84840197887,
36,Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2305.67634682273,2196.00408239836,2361.31082845917,2491.38071480108,2826.65641646751,3580.93559342918,3796.50284757734,3748.51188179245,4109.31373107034,3989.1917364143,3952.06824439875,4352.73462206357,4937.12661579999,5949.80282852481,7176.51134449474,8355.86458655579,9469.08131854717,12008.2924036188,14576.2638774666,12306.2596698502,12606.5911566259,13962.7710889562,13074.2382432056,13665.7265983293,14141.1006164469,12525.6327000489,12782.2222396049,14222.4542912046,16077.0239465209,16349.0053581845,16298.2670593913,18790.4181600999,19337.8890310738,
49,Caribbean small states,CSS,446.724344059027,475.196774974742,493.291450403795,515.430226621618,546.452701004532,578.953997418128,618.508770990454,654.127061534779,640.56214847806,687.929295724693,746.028155126344,799.675378725637,911.453623643689,985.632558067124,1266.19459987939,1463.42203527291,1490.40721512961,1712.86380329154,1736.62460082141,1974.78039310799,2434.17914272633,2656.8044883275,2915.11646773809,2921.93351330956,2762.3834724097,2707.0988616771,2449.9998499898,2613.33897854047,2752.33006641357,2802.62322859698,2995.96689738191,2956.09229737341,2885.09552390377,3097.28728191942,3226.76370829389,3524.13986061669,3809.57698085113,4418.65810009457,4681.0180562571,4925.0111536944,5246.59626700535,5368.46989808495,5594.32149949683,5938.53436717566,6453.14629697295,7248.42570322743,8192.98521377102,9053.24756679058,10222.7279438705,8592.54910424705,9271.13807868462,9947.6159902644,10416.8412086488,10542.0752110958,10711.7786572268,10447.6799478983,9769.46964089534,10061.0866121034,10339.100779196,10409.7163826574,8864.60436985981,10114.1468413213,12382.3753760863,
61,East Asia & Pacific (excluding high income),EAP,90.7192123906104,79.9072258969416,72.0156773144181,76.0658108856947,85.6846043343313,97.3474589887182,103.602083180782,97.9968194033843,96.6845507613522,105.633795183996,114.188280554589,119.51770153139,132.245115866554,162.564081471734,180.001981788605,198.486022069629,198.253599488374,225.179987602131,214.895913606875,245.009571500376,278.461334356942,292.652273028898,302.081416410329,311.190588581002,331.912064031614,357.521650098792,350.744944917023,340.712209964746,371.363055557221,394.994604426853,416.677813510951,445.081947497703,491.776871416236,532.491798756749,632.265935554736,770.095437964132,873.540580512297,893.380018603301,804.277090692292,875.652520981282,954.440267804461,1007.04169029877,1104.50293636356,1238.47650121864,1425.37060802894,1637.7597483176,1956.52001856097,2454.11064785815,3080.44425640408,3316.54104949072,4006.2005782492,4860.73921831893,5375.84282962973,5882.14219490776,6291.28338162026,6501.71268639374,6591.13640599459,7149.12126805695,7944.47136791977,8169.0089232591,8262.89754957938,9812.14597481484,9952.18812123202,
62,Early-demographic dividend,EAR,153.477606369079,159.252521196822,159.643702478628,165.033837638066,184.548389164812,194.891255262347,187.821538097884,192.507670890023,203.006308895874,220.954436467262,228.383389172106,241.276850085209,257.602529567544,321.628122433175,438.345604967985,459.937710206993,490.458704203932,534.941810817321,601.121368821912,687.942413331473,835.209506886223,909.256651551909,843.38337012423,828.614258099725,824.354304762511,803.601059584368,792.998653320573,786.638223745022,799.168898277508,795.471329117703,911.326362214013,942.686546614955,1013.39868076788,1090.3233081329,1123.6508004014,1129.3557134751,1206.54595338244,1264.20299159228,1222.50644650653,1268.95124684083,1354.97962019911,1318.6225346678,1259.77602262877,1378.4039523203,1577.93723191945,1809.84760553527,2036.40518706156,2370.89645265435,2632.81945671761,2502.95552989672,2988.44999734415,3250.77670443065,3348.11278853938,3347.1139989727,3414.4378268947,3204.50859093735,3264.72507479012,3485.10955398458,3480.2807841338,3506.63417506725,3232.2471401811,3714.71391519885,4069.17601218906,
63,East Asia & Pacific,EAS,148.212965345957,148.460666950688,149.479446811975,162.82509315409,182.491280832494,198.448671770563,216.172746663244,228.687838879726,246.030503644293,276.178438225849,317.346649419649,343.022425747675,415.748202894839,535.775016250422,604.58510644305,649.89959280483,702.722183116036,824.496953858256,1024.32509866045,1095.51796218655,1166.7721288235,1266.9805187645,1221.93035339488,1279.56032436483,1350.02030264223,1403.42744566067,1805.21757083772,2085.80417707592,2469.39876176956,2532.5608704739,2605.90737845756,2899.93850702762,3126.50224805488,3451.76196630476,3861.09421124178,4331.6508704673,4124.72260510974,3898.12703598358,3449.92130665764,3814.89189048419,4089.04265865943,3769.11016926494,3796.53893440041,4141.29924519649,4609.60256861543,4881.33292682239,5134.80996193756,5695.51483024205,6518.99991372054,6661.46152251039,7721.62526257908,8890.74842436706,9435.97323954605,9468.44402937117,9694.44764520113,9586.89199191842,9855.05982291634,10452.7370700637,11311.7690787375,11480.7038150104,11482.8804990941,13119.40564996,12906.694013545,
64,Europe & Central Asia (excluding high income),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2419.40605443564,2320.5566344792,2467.89602924435,2384.11966901541,2181.71740584407,2136.32920197195,1829.83217138238,1955.89226749478,1973.00125789183,2056.34292375245,1903.68994407291,1597.09390864714,1788.40584633532,1766.9243808892,2024.5203397671,2552.66930555176,3380.64490849008,4272.29481617816,5231.24779175704,6713.47363107951,8288.16560768512,6465.41424135199,7789.14710320876,9625.73550874938,10208.4197269121,10750.5615847087,9890.31659095404,7459.08184487651,7044.68473024733,7865.2274511544,7995.71882866252,8128.39505469146,7462.09763148974,8919.90863602739,10376.7802480968,
65,Europe & Central Asia,ECS,,,,,,,1038.07825533528,1107.35499541311,1147.86682677267,1258.62194049362,1382.45041743228,1547.00906356874,1838.41472588665,2316.77781169328,2598.31725566447,3013.57924507207,3110.61124760123,3501.10756142901,4244.09418187364,5157.07394285724,5801.48769221547,5129.72366868545,4913.87979996546,4739.58220735789,4528.2148603316,4657.6915392167,6317.87059376523,7757.47061139213,8580.22677828434,8644.07657912732,10522.1857289629,10799.070804985,11533.7087180507,10557.8368634688,11010.6151193528,12692.6043048822,12929.4927869963,12240.1333706433,12540.6847735686,12389.6560239197,11667.3420725881,11768.8629281969,12865.0547309889,15600.859599848,18128.9540876554,19225.8915495491,20749.8910155648,24158.9124361522,26480.6712929701,23197.643444935,23640.9788244036,26151.0092850071,25093.6904042201,26090.3028271239,26321.0879621973,22560.0452974631,22380.6179946978,23644.7807272577,25244.0337921615,24870.5764692993,23995.1500027063,27239.9401146701,27363.874640104,
