"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","8.02712701055341","16.3535647271587","16.861248640358","27.6843957793414","34.3284941684694","38.6908906925731","41.5405781609832","48.5380948426327","50.7728703546955","54.5943364132854","59.3292781446644","53.6853353574305","52.8374041517026","56.6193664876142","59.3902347680975","59.8890559814446","58.7437094316317","58.2563740696419","55.7129715732859","53.5894591112868","56.9810313683544","57.983171556484","59.6038643754312","62.1849821654997","65.357245699652","68.2105070720794","69.2956631344478","71.1476828421811","72.7028816406173","74.5468634783744","74.524170059362","77.3491885611662","76.7529129111693","76.2693535237677","78.34004386627","77.919133248613","78.5783268698585","78.2784483336465","78.7497253473584","79.242460014867","77.0738350544952","73.1911990658324","",
"Afghanistan","AFG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","4","3","5","5","16","15","11","25","35","33","25","23","21","18","12","20","31","28","27","27","24","33","36","41","50","58","58","63","64","63","66","68","67","64","62","64","66","66","72","72","70","66","",
"Africa Western and Central","AFW","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","1.44878552279101","3.45691960501929","4.72041126649007","5.47144020551713","10.6807609600373","16.3749327477791","24.0387481219062","29.4313436792679","34.7787926701075","42.9744979892435","51.2724545339098","41.4113542225247","43.5316641231059","38.0157945971185","44.8911735979389","41.7760260634745","37.7593568650384","35.001409105541","40.3588752491433","41.5164001337163","43.2575039101644","42.6322920537783","43.6308854917692","47.3595839091869","50.3730430023964","54.0232796915754","57.3522211977898","59.4099479450648","64.6177359413256","69.6551907497411","66.2153718809342","62.4039607509129","61.1264450517186","60.6736188875842","60.9702282807271","60.5572069093383","66.2374587907612","67.704575851688","67.0813015507658","67.7416323954003","66.4940247500051","67.3945924733913","",
"Angola","AGO","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","6","8","8","10","10","12","18","24","26","21","30","27","24","28","41","47","21","31","42","47","46","47","47","44","48","49","50","51","52","53","54","55","59","59","56","63","57","51","45","",
"Albania","ALB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","94","94","95","95","95","96","96","96","96","94","94","78","94","96","99","97","98","99","96","97","97","97","98","97","97","98","97","98","99","98","99","99","99","99","98","99","98","99","99","99","98","98","",
"Andorra","AND","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","89","90","98","96","97","99","99","98","93","96","99","99","99","99","99","96","97","97","98","99","99","99","99","99","",
"Arab World","ARB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","20.9451062910484","23.1686679325498","28.0189613926853","31.9952407935181","41.2159182151806","57.4417893850394","63.2849103588049","66.9924917896191","72.5836950696429","79.8132273921176","80.8909003682286","74.6320758241376","75.1633432897087","75.9359905457083","74.0369472176225","76.8526781523657","78.5100829858182","76.9325134346898","79.1694524246328","81.7038638400642","83.3113845875353","84.3966779878028","82.340049052226","82.6240626381203","83.4841079978292","84.2283134602648","83.5267863427955","84.9841313892983","85.8743593820363","86.7569409365508","87.6044205477775","87.3841604894438","83.8915720227526","85.5549347506506","85.2787481095939","84.2793550757672","85.1721681167391","86.2576098412562","85.9165889016999","86.4632517460194","83.6047711810909","83.4781039710144","",
"United Arab Emirates","ARE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","11","45","43","50","59","76","78","80","82","84","85","85","86","90","90","90","90","92","94","94","94","94","94","94","94","94","92","92","92","93","94","95","96","98","99","99","99","97","99","99","90","96","",
"Argentina","ARG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","44","49","58","61","62","66","67","75","80","80","87","80","81","81","82","85","83","88","84","86","83","83","93","96","98","98","91","91","93","94","94","91","91","94","94","94","92","86","86","83","74","76","",
"Armenia","ARM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","85","86","98","86","88","82","91","93","94","94","94","91","90","87","88","89","93","94","95","95","95","93","94","94","94","92","92","91","93","",
"American Samoa","ASM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","54","79","79","99","94","99","96","97","98","99","99","94","99","99","99","99","99","99","99","99","95","97","98","99","97","99","99","99","99","99","98","99","98","99","99","99","92","95","95","95","96","92","",
"Australia","AUS","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","33","40","48","55","62","68","75","81","88","93","95","93","91","90","88","86","86","77","82","88","90","92","92","93","92","92","92","92","92","92","92","92","92","91","92","93","94","95","95","95","95","95","",
"Austria","AUT","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","82","74","81","84","83","84","83","86","83","85","83","83","86","89","92","95","98","93","87","90","85","85","85","85","",
"Azerbaijan","AZE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","66","69","74","74","70","73","75","76","77","76","77","77","75","78","79","81","81","81","87","89","93","94","96","97","95","95","94","79","89","",
"Burundi","BDI","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","36","33","44","26","36","55","68","51","82","86","83","80","63","48","73","73","74","65","79","80","81","81","82","83","87","92","99","92","94","96","96","96","96","95","94","94","91","90","93","93","94","",
"Belgium","BEL","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","95","95","95","95","95","95","95","95","80","94","93","92","95","97","96","94","95","87","79","87","95","95","95","95","95","97","98","98","99","98","98","98","99","99","99","99","98","98","98","97","97","98","",
"Benin","BEN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","17","17","25","30","48","74","69","73","75","81","67","66","66","70","74","78","76","75","73","72","70","74","82","75","79","76","75","80","77","74","74","76","76","76","76","72","76","",
"Burkina Faso","BFA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","9","19","23","34","44","66","53","39","39","36","34","37","39","15","15","45","62","69","79","79","82","86","89","93","92","91","91","90","88","91","91","91","91","91","91","91","91","",
"Bangladesh","BGD","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","2","4","9","16","49","69","74","66","74","84","69","77","78","77","80","82","85","83","87","99","93","94","94","96","97","94","96","94","96","97","98","98","98","98","98","98","98","",
"Bulgaria","BGR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","98","99","99","99","99","99","99","99","99","99","99","99","98","98","93","96","95","94","95","96","93","94","93","96","95","96","95","95","95","94","94","95","95","95","88","91","92","92","92","93","91","89","",
"Bahrain","BHR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","72","75","79","83","86","90","92","95","96","96","94","99","94","94","96","95","96","98","98","97","97","99","98","97","98","98","98","97","97","98","99","99","99","99","98","98","99","97","99","99","98","98","",
"Bahamas, The","BHS","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","36","55","69","65","69","86","85","85","85","86","86","92","92","91","91","87","85","86","89","82","99","99","94","92","93","93","95","95","93","96","99","98","98","97","96","95","94","94","90","89","83","75","",
"Bosnia and Herzegovina","BIH","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","38","82","55","67","79","89","90","85","91","80","87","84","93","87","95","91","90","89","88","92","89","86","82","78","75","73","73","73","73","",
"Belarus","BLR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","91","92","96","98","98","99","99","99","99","99","50","99","99","99","95","97","96","98","98","98","98","97","99","98","97","97","98","97","98","",
"Belize","BLZ","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","47","44","61","59","53","58","82","85","61","79","91","82","74","85","88","83","85","86","87","87","91","96","89","96","97","96","98","96","94","97","96","95","98","95","95","94","95","88","96","98","79","83","",
"Bermuda","BMU","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","11","13","12","10","6","33","42","35","28","52","41","43","45","52","58","64","61","58","61","77","75","71","77","88","84","85","83","84","88","93","91","95","93","87","85","89","87","84","83","75","68","70","",
"Brazil","BRA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","37","47","56","60","68","66","58","58","58","56","66","78","71","75","74","81","77","79","93","94","98","98","99","99","99","99","99","99","99","99","99","99","95","97","93","96","89","89","87","70","77","68","",
"Barbados","BRB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","60","58","62","69","83","83","79","79","76","78","91","82","90","86","90","93","85","96","93","87","93","84","87","89","93","92","84","93","85","93","86","91","87","91","94","97","97","90","95","90","85","82","",
"Brunei Darussalam","BRN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","89","94","99","85","96","88","86","85","89","91","93","95","96","99","99","99","99","99","97","92","99","97","94","92","92","94","97","99","98","99","95","97","95","99","99","99","99","99","99","99","99","99","",
"Bhutan","BTN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","6","13","15","16","28","41","53","63","70","76","96","91","86","79","86","87","87","87","86","90","92","88","86","95","89","95","95","95","96","93","91","95","97","97","99","99","98","98","97","97","95","98","",
"Botswana","BWA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","71","75","82","82","83","84","86","88","88","92","92","93","94","94","94","95","96","96","98","97","97","97","97","96","96","96","96","96","96","96","95","95","95","95","95","95","95","95","95","95","95","95","",
"Central African Republic","CAF","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","13","11","14","16","17","20","19","22","42","64","82","64","45","47","48","53","48","43","43","33","37","40","44","47","51","54","51","48","45","42","45","47","47","23","45","43","42","42","42","42","42","42","",
"Canada","CAN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","86","87","88","88","89","90","93","87","90","86","90","90","89","89","88","91","91","93","95","94","92","91","89","87","91","91","91","91","91","91","91","91","92","92","",
"Central Europe and the Baltics","CEB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","68.8478072083135","69.4032525187641","69.0333054772704","69.8820267888201","71.1718045327284","95.2211416196732","94.1798304646981","95.483550528184","96.6038837294262","96.6188158064495","96.6184456997303","96.716223752098","93.2600766193998","88.4479205933603","95.792680348477","96.2896701493214","96.7229876521105","96.8231237915196","97.0356258970374","97.1685154257363","97.4666876111592","97.647971767341","97.7991171008463","97.6792308967181","97.7827331085576","97.7966779168616","97.789175641139","97.6817621730818","97.7269534842671","97.523096383627","97.2518412395667","96.2408291195492","96.6338838537665","96.6796903399975","95.9753823404908","95.1506401009074","95.1241538712322","92.9508300551126","93.4175141420476","94.0587939189269","91.8858278482623","90.8753884010905","",
"Switzerland","CHE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","90","90","90","90","90","89","89","89","89","89","89","89","88","93","93","93","93","93","93","94","94","94","95","95","95","96","96","96","96","96","96","96","96","96","96","96","",
"Channel Islands","CHI","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","93","99","99","89","99","99","90","93","96","95","95","94","90","90","94","94","91","90","90","95","91","97","97","96","93","91","94","96","95","94","92","94","90","91","95","96","95","93","95","96","93","95","",
"China","CHN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","58","73","78","78","75","95","95","97","94","91","88","85","80","83","84","84","85","85","86","86","86","87","87","93","93","97","99","99","99","99","99","99","99","99","99","99","99","99","99","",
"Cote d'Ivoire","CIV","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","19","25","30","31","31","42","54","39","49","50","50","52","55","58","58","58","65","66","64","61","67","76","77","76","74","81","78","61","82","75","73","79","87","83","84","81","75","76","",
"Cameroon","CMR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","5","15","25","27","33","39","44","50","56","48","42","37","37","38","46","46","48","56","59","62","63","66","73","73","80","81","82","84","80","84","82","85","89","83","78","75","74","67","67","69","69","",
"Congo, Dem. Rep.","COD","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","18","17","16","27","37","32","38","41","38","35","16","23","29","26","23","18","18","18","25","40","30","38","41","54","60","62","65","68","71","60","70","71","71","73","70","70","71","71","73","70","65","",
"Congo, Rep.","COG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","42","42","47","50","53","54","71","72","72","79","79","74","67","60","55","50","37","23","26","29","33","31","41","50","67","62","73","72","79","78","74","82","85","85","90","80","71","69","75","79","73","77","",
"Colombia","COL","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","16","20","26","42","61","61","48","58","74","78","88","84","78","88","85","85","85","84","73","74","79","80","81","92","89","93","93","94","92","92","88","85","91","91","90","91","91","92","92","94","88","86","",
"Comoros","COM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","31","51","71","71","43","82","94","52","38","70","58","75","60","48","75","73","70","70","89","80","76","68","69","75","81","83","74","83","86","87","87","91","91","91","91","91","87","85","",
"Cabo Verde","CPV","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","23","31","39","54","92","88","99","88","87","88","89","89","88","88","87","88","89","90","90","91","92","93","95","96","98","99","99","99","90","94","93","95","93","96","96","98","96","93","93","",
"Costa Rica","CRI","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","86","85","81","86","93","90","89","94","87","86","95","90","90","88","88","85","85","94","85","86","88","91","94","88","90","91","89","89","90","86","88","85","91","95","91","92","97","96","94","95","97","99","",
"Caribbean small states","CSS","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","30.3098681552999","46.8730606072509","49.3250389657425","60.2111803834448","65.8439823215594","70.4408134763654","74.6417640494119","79.0808737857828","77.7078057287125","81.7765250282199","85.4034996755223","84.0706545089989","84.1715830588009","88.5321053742789","89.6589918637086","89.070913055178","88.9161149139546","89.3669612068965","88.8094087184866","87.7942307195166","89.8440468990079","92.3245418682835","93.2207673374143","92.0445858587489","94.3516296001365","95.2736136055419","92.9485976329421","91.7664345621703","91.1870476936017","92.2874420488245","93.8787417984353","91.546096609035","93.5449602899632","92.4974481616075","91.7063760581337","91.72446078028","95.3838809426446","89.7782974395177","94.8644551335213","93.4634952385094","88.8537478133468","87.1251182861757","",
"Cuba","CUB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","67","68","99","99","86","91","99","87","98","96","92","99","94","99","99","99","90","99","99","95","95","98","99","72","88","89","89","93","95","96","96","97","99","99","99","99","99","99","99","99","99","99","",
"Curacao","CUW","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","34","56","26","34","30","61","91","93","90","93","93","94","94","95","95","96","98","98","98","97","97","97","98","98","98","98","97","97","97","99","99","99","99","99","99","97","97","97","99","96","96","96","",
"Czechia","CZE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","98","96","97","98","98","98","98","98","98","97","98","97","98","99","99","99","99","99","99","98","97","97","96","96","97","97","97","94","",
