"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.32214096512986","7.30052754950828","7.23111263692523","7.16748411191008","7.11874568328866","7.17185847385218","7.2415857733376","7.2471831876854","7.23034560869451","7.14019264515086","7.05937357531829","7.08038320946909","7.08633072569566","6.88125398293603","6.71766022181682","6.74424062958865","6.67252617382366","6.61607948250506","6.70038198188939","7.54905884444252","7.31170093203801","7.13502502796261","7.00746082263801","7.03124265696334","7.22285060044861","7.373212890157","7.45504563236438","7.41715282377877","7.62024158144095","8.12084504529987","8.49589767306206","8.51063111535505",
"Afghanistan","AFG","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.697","10.746","10.691","10.675","10.839","10.735","10.652","10.647","10.634","10.617","10.594","10.751","10.669","10.583","10.642","10.581","10.647","10.553","10.622","10.603","10.449","10.513","10.392","10.306","11.538","12.783","14.017","13.924","13.881","16.783","","",
"Africa Western and Central","AFW","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.16018700756395","4.35530470702457","4.38942794899037","4.3912322786508","4.37700759442238","4.40227138064578","4.45405588703746","4.49809528400501","4.70670092339773","4.71120380851085","4.6308982031132","4.50356362911984","4.46938757319247","4.43031744454234","4.41567630118759","4.30307099910178","4.26789617511593","4.30749199316571","4.37458798420401","4.41744816367408","4.35142816455804","4.30015245421028","3.89457204175694","4.01589995068131","4.23184763684039","4.09689079620386","4.10789660415076","4.19689370468325","4.24916880454094","4.80879963937949","4.89820657336321","4.7712595959858",
"Angola","AGO","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.829","3.805","3.819","3.688","3.593","3.546","3.512","3.467","3.422","3.365","3.307","3.225","3.2","3.122","3.055","3.005","2.938","2.886","2.852","10.904","7.717","8.159","8.665","9.146","9.172","9.196","9.171","9.181","9.164","9.896","10.122","9.961",
"Albania","ALB","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.272","27.083","22.996","18.897","14.109","12.917","15.734","19.778","20.396","18.541","18.948","18.277","17.396","16.702","16.419","16.082","16.398","13.743","15.706","15.877","13.748","11.49","13.371","15.476","17.115","14.477","12.511","11.876","11.324","12.758","12.609","11.755",
"Andorra","AND","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4387932568246","15.2385921327563","16.808010925958","17.4135556693141","18.072508296551","16.3131982955847","16.5459343042659","16.5160768801038","16.4931676708629","17.8943841649789","17.7703617871935","18.2716059791123","18.0714202164853","18.2711666289113","17.8758358889629","17.3131168172531","16.2248358358814","16.2585696844704","17.8199300229111","18.3720921686378","19.3510396745389","19.8709612726231","19.8312553482197","20.0489985279561","20.4419152487804","20.4081443192755","20.7673791369946","20.0584587057299","19.8780209216817","20.1974673480322","20.2106448848478","19.9041967887783",
"United Arab Emirates","ARE","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.596","2.531","2.489","2.411","2.361","2.44","2.504","2.621","2.683","2.716","3.649","4.521","5.325","6.174","7.11","6.785","6.654","6.416","6.292","5.923","5.566","5.316","5.032","4.767","4.491","4.251","7.579","6.257","5.99","5.818","6.796","6.411",
"Argentina","ARG","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.748","6.711","12.558","13.927","22.212","19.2","17.641","14.034","15.156","16.359","17.191","18.815","17.591","15.822","13.6","12.434","10.497","9.755","9.874","9.214","8.524","8.848","8.508","8.393","8.645","9.25","9.491","10.563","10.712","12.39","9.858","7.303",
"Armenia","ARM","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","2.372","7.315","8.465","9.988","14.474","16.692","13.391","14.999","14.375","13.781","13.185","12.512","11.739","11.135","10.438","9.77","9.802","9.56","10.041","10.261","10.484","10.572","10.752","10.917","11.024","11.369","11.493","10.431","9.633","10.72","10.593",
"American Samoa","ASM","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.148","9.927","9.993","9.362","8.109","8.242","8.07","7.333","6.655","6.056","6.444","6.164","5.98","5.534","5.217","4.917","4.786","4.563","5.402","5.379","5.304","5.323","5.606","6.172","6.066","5.78","5.67","5.321","5.102","6.354","5.014","3.528",
"Austria","AUT","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.544","3.771","4.499","3.967","4.887","5.207","5.268","5.57","4.762","4.595","4.133","4.529","4.342","5.885","5.859","5.599","5.3","4.411","5.085","4.632","4.576","4.795","5.297","5.381","5.306","5.537","5.031","4.652","4.351","5.227","6.116","4.512",
"Azerbaijan","AZE","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.963","1.927","4.822","6.754","7.725","8.697","9.779","10.756","11.738","12.7","11.505","10.368","9.27","8.04","7.285","6.341","5.501","5.545","6.565","6.85","6.436","6.071","5.922","5.817","5.846","5.883","5.874","5.807","5.691","8.387","7.002","6.46",
"Burundi","BDI","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.237","2.277","2.356","2.346","2.382","2.395","2.352","2.307","2.362","2.369","2.353","2.342","2.398","2.354","2.396","2.367","1.766","1.141","1.146","1.142","1.148","1.148","1.148","1.153","1.125","1.051","0.986","0.92","0.856","0.977","1.127","1.015",
"Belgium","BEL","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.65","9.507","10.828","12.431","12.211","12.402","11.53","11.698","10.215","8.282","6.923","7.801","7.999","8.275","9.506","9.312","8.445","7.602","8.113","8.514","7.178","7.409","8.175","7.938","7.769","7.56","7.058","5.566","4.94","5.353","5.856","5.323",
"Benin","BEN","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.584","0.576","0.552","0.553","0.526","0.519","0.5","0.492","0.472","0.455","0.441","0.426","0.517","0.602","0.703","0.78","0.857","0.951","1.057","1.148","2.875","2.685","2.491","2.353","2.273","2.093","1.906","1.74","1.736","1.908","2.073","1.968",
"Burkina Faso","BFA","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.72","2.79","2.736","2.737","2.667","2.591","2.614","2.583","2.698","2.875","2.942","3.088","3.167","3.969","4.674","4.323","3.934","3.971","4.076","4.058","4.149","4.217","4.294","4.384","4.46","4.497","4.562","4.624","4.639","4.906","5.226","5.166",
"Bangladesh","BGD","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.084","2.113","2.107","2.101","2.123","2.121","2.416","2.726","3.017","3.331","3.832","4.303","4.833","5.904","7.015","6.419","6.76","7.041","7.327","4.423","5.491","6.525","7.518","7.424","7.352","7.283","6.656","6.647","6.628","7.533","7.543","7.079",
