,r2,mae,mape,rmse,val r2,val mae,val mape,val rmse,use_log
Aruba,0.020009423772712753,1.2982669377963727,0.013495406903520083,2.1729863528175217,-0.025414895297770412,1.611920255822244,0.016491590618600636,2.0182808155066936,False
Afghanistan,0.8500713633528865,0.2624705481750263,0.10602670799177892,0.31360325756881785,0.43857159566092396,0.26094891328319486,0.07766778393977497,0.2895004053625711,True
Angola,0.7666539317864044,0.08113811252921956,0.024528911338045866,0.09927502235055989,0.5795072421141202,0.06528417855074346,0.018486715776531226,0.08266530155508856,True
Albania,0.4509125119407106,0.0016441809933285256,0.0003572717643779767,0.0020110634270317533,-0.8063168061174188,0.0024181224401361944,0.0005255713500400522,0.002652611235608255,True
Andorra,0.0,8.881784197001252e-16,1.9286549331065737e-16,8.881784197001252e-16,0.0,8.881784197001252e-16,1.928654933106574e-16,8.881784197001252e-16,True
United Arab Emirates,0.0,8.881784197001252e-16,1.9286549331065737e-16,8.881784197001252e-16,0.0,8.881784197001252e-16,1.928654933106574e-16,8.881784197001252e-16,True
Argentina,0.9914623602680628,0.0014224110714369373,0.00031169919779157514,0.0018018528648068557,0.9333015837682382,0.0022743715727628457,0.0004964649740901756,0.002529316456956368,True
Armenia,0.047053022203360495,0.37050226183662716,0.003733140369333437,0.4993517810465213,0.13475240916137765,0.30478573478561233,0.0030821079743727107,0.44442011812209725,False
Antigua and Barbuda,0.18489647334606962,0.0072660401268141795,0.0015903090667739855,0.014526015386638728,-0.046001730368507854,0.019714141840321366,0.004315698064451329,0.02650264936573473,True
Australia,0.0,8.881784197001252e-16,1.9286549331065737e-16,8.881784197001252e-16,0.0,8.881784197001252e-16,1.928654933106574e-16,8.881784197001252e-16,True
Austria,0.0,8.881784197001252e-16,1.9286549331065737e-16,8.881784197001252e-16,0.0,8.881784197001252e-16,1.928654933106574e-16,8.881784197001252e-16,True
Azerbaijan,0.584291047731063,0.0037284772970201385,0.0008123009260639917,0.005843163264919046,-0.22350449809905681,0.0021830435018167726,0.0004741692525060756,0.004468194659160427,True
Burundi,0.5682485191317082,0.15687946081738324,0.14274775783001536,0.2090312361524407,0.6559012938897555,0.11195000563339666,0.08977831634792574,0.15684981418813168,True
Belgium,0.0,8.881784197001252e-16,1.9286549331065737e-16,8.881784197001252e-16,0.0,8.881784197001252e-16,1.928654933106574e-16,8.881784197001252e-16,True
Benin,0.936953832961292,0.04400565742963494,0.014779593682288112,0.05900127941821623,0.9366657517872365,0.027446521504240005,0.008142133419657955,0.03478950594986666,True
Burkina Faso,0.9456313470082802,0.043165233134804346,0.0202690135749882,0.06234542341048791,0.7374246391312456,0.0375650820604859,0.015293761507398048,0.05450881364143168,True
Bangladesh,0.9282680172934537,0.10897293662174802,0.03608466178832484,0.13848256628600736,0.458036319130947,0.09333094100294859,0.023865808081452923,0.11329475528476833,True
Bulgaria,0.4950175522706731,0.028466994365290564,0.006271017535409172,0.03593382063173948,-1,0.03005911640511565,0.006656470559451341,0.034578990375438004,True
Bahrain,0.3084522652684676,9.390104444320483e-05,2.0391161210875248e-05,0.00012751397707887893,0.0,5.1070667904173914e-05,1.108985462894812e-05,6.241931451129796e-05,True
"Bahamas, The",0.0,8.881784197001252e-16,1.9286549331065737e-16,8.881784197001252e-16,0.0,8.881784197001252e-16,1.928654933106574e-16,8.881784197001252e-16,True
Bosnia and Herzegovina,0.3953174845201113,0.002421068212011836,0.0005263922513820531,0.003293031832555452,-0.812612516593517,0.003670316156048692,0.0007985425840822565,0.0046579301040498835,True
Belarus,0.474657945706795,0.026265958005419317,0.0057791264187326006,0.03327334949571189,-1,0.028151524672874295,0.006220612871314384,0.03236802744964142,True
Belize,0.9384934285761946,0.01241524210019912,0.002856233866672533,0.019072750003649632,0.7040297345050133,0.015828967016399176,0.0035400086516504266,0.023025749363074673,True
Bermuda,0.0,8.881784197001252e-16,1.9286549331065737e-16,8.881784197001252e-16,0.0,8.881784197001252e-16,1.928654933106574e-16,8.881784197001252e-16,True
Bolivia,0.8181557573242159,2.3609908941556648,0.03294554974921587,3.36339574533627,0.6317735618677116,3.8913526251608177,0.052653986992018384,4.931695426087474,False
Brazil,0.931512161998379,0.007852825449070308,0.001733008121244475,0.009392559138579523,0.20727624529551492,0.006645219982817885,0.0014490069434021755,0.008285967357663033,True
Barbados,0.03493532375412767,0.01404117555548075,0.0001404745318088845,0.02501481800200563,-0.09482725517928303,0.031056748495515762,0.00031077568371471874,0.04458523909191656,False
Brunei Darussalam,0.0,8.881784197001252e-16,1.9286549331065737e-16,8.881784197001252e-16,0.0,8.881784197001252e-16,1.928654933106574e-16,8.881784197001252e-16,True
Bhutan,0.928906952694692,0.0747211400482963,0.019257613036121734,0.08353464596891548,0.8649507921455492,0.06993124828608441,0.017095597530959815,0.07965887905778711,True
Botswana,0.9551750479933794,0.09112141758341384,0.031196326240269287,0.10747699536379776,0.8196427091340297,0.06709463623574244,0.01794175818705087,0.08299838061691021,True
Central African Republic,0.9402231595231872,0.07172000617892067,0.04551592970790203,0.09040259870844466,0.8080934478355195,0.05621182592628293,0.027575829233358884,0.07305801865690377,True
Canada,0.0,8.881784197001252e-16,1.9286549331065737e-16,8.881784197001252e-16,0.0,8.881784197001252e-16,1.928654933106574e-16,8.881784197001252e-16,True
Switzerland,0.0,8.881784197001252e-16,1.9286549331065737e-16,8.881784197001252e-16,0.0,8.881784197001252e-16,1.928654933106574e-16,8.881784197001252e-16,True
Channel Islands,0.0,8.881784197001252e-16,1.9286549331065737e-16,8.881784197001252e-16,0.0,8.881784197001252e-16,1.928654933106574e-16,8.881784197001252e-16,True
Chile,0.8573476435473134,0.005210209885846156,0.001141028400786032,0.007163091840496345,0.42502750553628355,0.005960255994465769,0.0012986063674463595,0.006721406069751529,True
