,r2,mae,mape,rmse,val r2,val mae,val mape,val rmse,use_log
Aruba,0.7369505921320483,0.30702660412648647,0.11106993969458401,0.3989069431952508,-1,0.3424968640548872,0.17881587413434513,0.41028760504643924,False
Afghanistan,0.059280592122248676,0.23141816000815846,0.03248203081073741,0.31868740718010713,-1,0.6444658294390161,0.10193834189871727,0.7758968901864107,False
Angola,0.31728718988397286,0.2720832047091392,0.03869708410442585,0.3135546231899175,-1,0.38774847045687133,0.061204179852974896,0.400039269204521,False
Albania,0.9651402886997138,0.21519185702109606,0.06897500613442147,0.26053992793456765,-1,0.31396913062491355,0.18316164807100768,0.35467920276491477,False
United Arab Emirates,0.8801011252407167,0.12199942048355138,0.0928420717108922,0.13633495788230282,-1,0.1888171436435237,0.28067359325728836,0.19744616954901784,True
Argentina,0.5721748926657348,0.16771501942194578,0.05675839518736884,0.18231004503243606,-1,0.23874640402523747,0.09986852283674671,0.23929083616400323,False
Armenia,0.9083175491669045,0.21679349244098434,0.08021142230012072,0.2696581351302405,-1,0.1715356211999086,0.11428541265545097,0.22385981703695138,False
Antigua and Barbuda,0.7829133743925403,0.3844439980468155,0.1517522435133805,0.43375562022668546,-1,0.48914846976548887,0.25983915234705085,0.519196721140775,False
Australia,0.7046201421786662,0.24768886784553443,0.11325059780486174,0.3023003473925492,-1,0.4183306561407288,0.21909687181965806,0.45483223485747454,False
Austria,0.7686234808390056,0.20620176966607245,0.1166140405606199,0.2432181756613624,-1,0.3300688895047338,0.2339357347941758,0.34582154997582554,False
Azerbaijan,0.9415020642092634,0.2663472421861744,0.08831681375226913,0.33103471021381536,-1,0.560183512622657,0.2890209539403982,0.6280621384439316,False
Burundi,0.22192553436796847,0.17560076475409547,0.025019141303292834,0.21857888482281998,-1,0.3739195950333268,0.058152596388063374,0.4247877425707792,False
Belgium,0.5439781006019178,0.10889983934848121,0.18774028214103522,0.1251771086921045,-1,0.18930072053407448,0.3226152811396946,0.20075902428795267,True
Benin,0.3833561688268401,0.30140770515383786,0.04681140581482709,0.35005792933313584,-1,0.4899616949049011,0.08828006357896759,0.49859067799397283,False
Burkina Faso,0.010954265224000337,0.30744695404452493,0.0460218537924943,0.36105818418351043,-1,0.5723318513132549,0.09418280708585548,0.5883045727670607,False
Bangladesh,0.8971854839282302,0.09476479265407914,0.06012977296716059,0.10902216675797254,-0.1366476107688379,0.1012785238814093,0.10843932224979833,0.10701774323596212,True
Bulgaria,0.6898693993622113,0.1102766150745312,0.3616710439746663,0.12911522403885956,-1,0.13733283491450174,0.36757876980202064,0.1593066315743831,True
Bahrain,0.982472291970738,0.18400939559024224,0.0478882215384052,0.2139799264062297,-1,0.3735685245115813,0.1605988391682031,0.38802405772731485,False
"Bahamas, The",0.9120696921470903,0.24250329317613903,0.08339808092638928,0.27463555354607216,-1,0.27435215345960007,0.1436292261389442,0.3179655627391338,False
Bosnia and Herzegovina,0.9081887383703247,0.18647804862447512,0.08695294770065884,0.23297317958298353,-1,0.23887574584492538,0.1907915328334144,0.2920488786065143,False
Belarus,0.8246352676558013,0.07681753586515012,0.18389827442930287,0.09511380998695763,-1,0.12037624240966696,0.4088060170716328,0.12970952952079412,True
Belize,0.9183249910467339,0.06216729292065745,0.03985078711008848,0.07562459562601051,-0.280015918211721,0.10006286521197931,0.09691531386898093,0.10999135389305435,True
Bermuda,0.5530518836615523,0.32034778232381833,0.15972664532149822,0.3906480151883033,-1,0.4186992156824343,0.24025076444327315,0.4231463043359319,False
Bolivia,0.9471849738851975,0.0368611412448997,0.023709185271197177,0.04354486037385474,-0.6840439535254987,0.07447518104965789,0.06095868526780751,0.07776838708770617,True
Brazil,0.9816370316368002,0.1392383372493578,0.04612282887350758,0.1779634824219617,-1,0.30704058067040096,0.16477283838703596,0.35155710459937534,False
Barbados,0.7373902020455326,0.39935312085050856,0.17784720775781226,0.45127757385666256,-1,0.6066969192503782,0.3484147488001332,0.6169448853864602,False
Brunei Darussalam,0.9724664716125433,0.20632572369182933,0.05971252055496475,0.2540708495275426,-1,0.3937526560957897,0.2002598546782027,0.45451159531644414,False
Bhutan,0.7639406672671138,0.13392849667012097,0.09033267116636252,0.15274629823162805,-1,0.255394862667888,0.2743215441353001,0.2600444124616453,True
Botswana,0.8951011374299278,0.08009167612602064,0.04943046881663859,0.0945730282492712,-1,0.0473480463124291,0.04185608366729478,0.05918786619963458,True
Central African Republic,0.0003173284188195957,0.012570067399077591,0.0070279785646307,0.015066970635361731,-1,0.014901599917217002,0.00842510672879098,0.01670521381243217,True
Canada,0.5916162033311514,0.3278574059420756,0.15568289483804257,0.41599897075619596,-1,0.42367962819671545,0.25895014494666263,0.4509085750174813,False
Switzerland,0.6749148852225444,0.18728112703148145,0.1064902253760169,0.2302778790552185,-1,0.2417066561269011,0.16385911250511315,0.2676091252887876,False
Channel Islands,0.5385017906143275,0.1056753644248133,0.21326954586155975,0.12394217607445812,-1,0.15067634244332115,0.3200768139789229,0.16482062031514455,True
Chile,0.917498143808312,0.20435041649697222,0.07105427786732821,0.2509366056591375,-1,0.2742043847575174,0.14913490237192856,0.31715431570673747,False
China,0.7649520414374104,0.7253190526327494,0.24288545972163483,0.872167539843379,-1,0.9287430857275865,0.5590232313593069,0.9987242421633884,False
Cote d'Ivoire,0.870820091446328,0.043637611351112354,0.022441300361758402,0.04964199991929331,-0.5475848471412945,0.04924661069791836,0.02961309093975878,0.05150012941600378,True
Cameroon,0.14734869889653723,0.35321092907021373,0.05860479617916545,0.39725765133821156,-1,0.5025051641201647,0.09499627152616352,0.5119634072049292,False
"Congo, Dem. Rep.",0.7563289270297456,0.07189298262739488,0.011014785694013792,0.09748576593246697,-1,0.1846890875977806,0.0280066627114799,0.19464712004532095,False
"Congo, Rep.",0.8535209284585533,0.2063930021001526,0.03589716593361701,0.24069149333354103,-1,0.1418202505230033,0.029825201791299844,0.1671746637398721,False
