,r2,mae,mape,rmse,val r2,val mae,val mape,val rmse,use_log
Afghanistan,0.7011181611580364,0.3398839454728012,0.1489617803129949,0.44215116547563305,0.7247865876053954,0.09247457823483174,0.022990424556482588,0.10719452419210698,True
Angola,0.8082658237418722,0.2483455683431283,0.08476365903796368,0.28388337854150214,-1,0.1992311193074708,0.051172802871890966,0.23320341871343234,True
Albania,0.11689294427827601,0.018027905683759147,0.004023428921233633,0.04057143170145693,0.41430039846783173,0.005230258962474643,0.0011403056829423558,0.0060492892207413135,True
Andorra,0.5282932780355258,0.025271818614722587,0.005553186974872901,0.02852370244098165,-0.5869514983366055,0.02074470909237993,0.004534031187426188,0.024690054887999854,True
United Arab Emirates,0.3965020310194911,0.2129839851807781,0.0589403213751591,0.34006322441567605,-1,0.20168896109592954,0.04446381093784319,0.22240431977799272,True
Argentina,0.7106594037690629,0.07996855410807074,0.01879179903663293,0.10532553732880134,-1,0.07691315673869906,0.016973563034382806,0.08951149475578497,True
Armenia,0.1766080096557645,3.1234032209054994,0.0347106755289479,3.9701973924675937,-0.07060167736798673,2.3334548769371013,0.025787173415930266,2.8241781984130356,False
Antigua and Barbuda,0.23732445135537317,0.07056319854576276,0.016020303604268354,0.10833610713710116,-1,0.04800069832378684,0.01045541683287125,0.051732029427687266,True
Australia,0.4872256410018052,0.1491102973675686,0.03564759128441877,0.1955530203070349,-1,0.11917498563175348,0.026354065445361435,0.1359823384444558,True
Austria,0.3587096262748588,0.025594558817122956,0.00577325742439304,0.03863878238765405,-0.8594138886625988,0.02169274050419192,0.004868281410813077,0.030444288135731398,True
Azerbaijan,0.7106277558134997,0.034350627277909586,0.008086341764074714,0.046799037718608,0.6143747217481947,0.021131083524030723,0.004834375955627404,0.025473841969665744,True
Burundi,0.6013237803616325,0.16422497249150408,0.04110661616820277,0.22458994976428046,-0.8445602968508428,0.08074837785828795,0.017896937881360243,0.09384318281693375,True
Belgium,0.007721077408239352,0.035784823249097784,0.007979370177069943,0.05308951519999146,-1,0.03188921696083504,0.0069596712453453185,0.03469683989511205,True
