,r2,mae,mape,rmse,val r2,val mae,val mape,val rmse,use_log
Aruba,0.8862211549543658,0.013828391318398841,0.0032502259197511973,0.015471295505139959,-1,0.021791171039491974,0.005059037317702508,0.022128137448647455,True
Afghanistan,0.8570483279164027,2.468633890691426,0.06100933657913663,3.244652796058356,-1,2.2799244147866284,0.03869227772131507,2.2872947289537002,False
Angola,0.7885081997367396,1.3982560020255106,0.03104841651839194,1.9751152748284182,-0.9823113807923116,3.841512115295201,0.07040443378765751,4.381867773842006,False
Albania,0.8705124038809193,0.02793616274332034,0.006651611395108437,0.03368897153170398,-1,0.03642313169862819,0.008379045217732813,0.03736657391898518,True
United Arab Emirates,0.862296685419982,0.041854519706511856,0.010064681927068409,0.048077963716677434,-1,0.05009472500270391,0.011523167499976403,0.05152760309452653,True
Argentina,0.9859380307826261,0.005101319806634885,0.0012026750949157318,0.006394644094428551,-0.15035545973603237,0.007742230772062708,0.001791150735045617,0.008969751453141413,True
Armenia,0.6513830881643086,0.009885377703241318,0.0024101359486759758,0.03361401356297336,0.749106447560759,0.004896140957349448,0.0011438177553839302,0.0050801217046925196,True
Antigua and Barbuda,0.7476337965907315,0.022249611639211384,0.0052381019230135,0.02697650440306058,-1,0.017057944995412733,0.003936372174597175,0.017325794230877573,True
Australia,0.9803538315862819,0.3366101703470409,0.0046245929570807726,0.4861427684692591,0.8494903255815207,0.20739364479519368,0.002565447926856138,0.23930761427008249,False
Austria,0.9833931262311872,0.3669969416628725,0.00507436156164264,0.44904545265223755,0.7933712910063926,0.3129634654551111,0.003911191830056777,0.35397308498140284,False
Azerbaijan,0.9036790096308365,0.7355030091325345,0.011700846343249912,1.0020504159190387,-1,1.6557077412541374,0.02413166674237254,1.7463577236185435,False
Burundi,0.2893440848132438,0.059781564957075116,0.016189459864701952,0.09851242734900978,-1,0.08365153988356414,0.020864409386972104,0.09043725329115754,True
Belgium,0.9875927742939975,0.2738026942218483,0.00375352905771178,0.338440844036029,0.9006408773469784,0.2242979598170706,0.0028255727703167194,0.25324487794961653,False
Benin,0.9675699778072957,0.02040945889629247,0.005214581402938607,0.02413361345177996,-1,0.04801109257898295,0.011838631823962449,0.05064352553698766,True
Burkina Faso,0.9276705322096916,0.030952076370406666,0.008099208575904831,0.034488138479308234,0.3343134047478409,0.027119246237771132,0.006818180509690322,0.029040423743852947,True
Bangladesh,0.6581314519288202,0.04053910423605705,0.010950683461880151,0.09572673228694067,-1,0.01860339943386329,0.004422351404503255,0.022536182793054742,True
Bulgaria,0.5228662482576916,0.005608110765945088,0.0013144386097988846,0.007511098219183196,-0.5757529287498799,0.00900252990523347,0.002096090062328656,0.011318482747610431,True
Bahrain,0.8077605083852456,0.03876915623156715,0.009284449532111272,0.04822795243173941,-1,0.04350715027786549,0.009996547781544038,0.044216042075605096,True
"Bahamas, The",0.969821825005777,0.005702316487741986,0.0013517692918463494,0.007338696349565524,-1,0.008738713459394365,0.0020391512193307123,0.01153906212555408,True
Bosnia and Herzegovina,0.2921292864835743,0.0369506045087683,0.008942733724691015,0.07084472539016039,-1,0.024811980648901066,0.005724605477252624,0.025210268105258168,True
Belarus,0.19718748810987663,0.710389277171524,0.010167711114179724,0.860789885688323,-0.30491101844369695,0.9154074396659638,0.013130469993252802,1.0089016438160792,False
Belize,0.7392909552743943,0.02730627205270068,0.006528392697362697,0.03339746159516982,-1,0.0349272516173893,0.008216534936668586,0.0358467680916857,True
Bermuda,0.883537814374462,0.017634653274972868,0.004127287818851255,0.02200356272308346,-1,0.020059319037535682,0.004587831822044305,0.022331389085387312,True
Bolivia,0.9934846563314458,0.48816618877605683,0.00936879462422767,0.5591876472358231,0.8511894824146687,0.33780413055865355,0.005232510926671219,0.4001023444217042,False
Brazil,0.9903738939323455,0.007392297378588368,0.0017822971130742728,0.00926780365021861,-0.4955037823312871,0.015596435635656204,0.00364226990876411,0.01674720712815966,True
Barbados,0.9247068265750166,0.008615940653393614,0.002022052989709924,0.011242610635031866,-1,0.011059943025992603,0.002559962879466082,0.01115446514540313,True
Brunei Darussalam,0.8967941702159652,0.0193722483487667,0.004610618027550022,0.0247791951075792,-1,0.032795357950033924,0.007600971100550145,0.035391051435347376,True
Bhutan,0.9821134021104974,0.02459086492438679,0.006311841028475185,0.028538970428392013,-1,0.04831807740822462,0.011483024963472413,0.05240854490925217,True
Botswana,0.017541358781869465,0.060673298078240595,0.015056446111913722,0.06914886989331766,-0.33934752652071265,0.06262126859916535,0.01575575383708647,0.07396825353388999,True
