,r2,mae,mape,rmse,val r2,val mae,val mape,val rmse,use_log
Afghanistan,0.4843158233067414,2.8294271541028526,0.18321238451239316,3.9783418067639786,0.16810994489443132,5.929819362268604,0.2949565087928755,7.05627783918284,False
Angola,0.25128754704033407,1.3450068584718735,0.14587917845336,1.7934430409982733,-1,1.0228282936484807,0.11413858761193166,1.1947746238281494,False
Albania,0.23103552311071862,0.07567643979849786,0.017334095163596165,0.09021963966333783,-1,0.09387167437319599,0.02114245987984465,0.11675386962988465,True
United Arab Emirates,0.8598953765759558,0.14804668175081642,0.04119960819872493,0.17964138613017339,-1,0.20844828915990293,0.050682616921243796,0.2186408414587769,True
Argentina,0.94573130211165,2.885593715301166,0.039228077859919705,3.8211044370905003,-1,3.81381471533347,0.04020513567275662,4.483317245397722,False
Armenia,0.0019522774179714375,2.983835205540005,0.03385232233366662,4.45433881871524,-0.12257993132050982,4.254961139141647,0.049756775980473664,5.833300022837815,False
Antigua and Barbuda,0.07387518596937204,0.10217036706449603,0.023559879549594275,0.12461442470317727,0.07387518596937204,0.10217036706449603,0.023559879549594275,0.12461442470317727,True
Austria,0.36897238553430434,3.658111313133818,0.036620188488058474,4.094617312274888,-1,3.701902820785894,0.037216104810822485,3.8429411747003646,False
Burundi,0.8377028653496328,1.367900782758609,0.37255238604752133,1.8707283626590798,0.4862302839600553,2.2048772776487437,0.1396589911954562,3.3477461774781703,False
Belgium,0.8722893520890196,8.44784919419632,0.07736864112274655,10.128063062902111,-1,6.172623183413592,0.0392998912655074,6.999504276103013,False
Benin,0.7491282151320455,0.1900415054377553,0.08312198217926867,0.24815818274204468,-1,0.3185080573929206,0.10677009885322734,0.34937059348829647,True
Burkina Faso,0.9019105467849798,1.2969669722258028,0.3717136597617157,1.7098254042830607,0.4192191984807083,2.3935705911547775,0.12973585387063247,3.1844984063613704,False
Bangladesh,0.8424171344904711,4.776312981832825,0.1847478596861789,5.628545800908264,-1,3.899617144904842,0.07786079075198889,4.630716568189491,False
Bulgaria,0.004962905317688282,2.731274656442676,0.02888777428128283,3.593210913145331,-1,3.158318814488098,0.03530576830565439,3.387183662933158,False
Bahrain,0.720512502114212,8.391562078983549,0.10353150217763503,9.675915033196477,-1,12.250251822354302,0.13005019822617747,13.748736557106165,False
"Bahamas, The",0.2431731090700887,4.951212874906025,0.05304072746383234,5.706627975917227,0.10967739265217735,4.541162894156207,0.051493603978617866,5.294618986607184,False
Belarus,0.2174846112846195,0.03288070089000278,0.007189059415809177,0.04140325323273549,0.23652457259506177,0.06846795999798845,0.01494882545642608,0.07487140790370353,True
Belize,0.9113809335331419,2.11212122423221,0.03165517972014584,2.5419518437743145,-1,2.445353515605872,0.031996216880124405,2.9519174343105297,False
Bermuda,0.026167585192811038,5.477333558485841,0.06398878951884099,6.364612021613932,0.03385019042767767,5.797062195388354,0.06598037090822911,6.914847509897231,False
Bolivia,0.9800188133292393,0.05278940654175219,0.013346012987968454,0.06525478559350018,-1,0.054696809284494205,0.012315615972850935,0.06611148623990518,True
Barbados,0.8983679320759623,0.028056936483096668,0.006237798547834886,0.03556404705958076,-1,0.02474903362885463,0.005318367191053757,0.0288649384962105,True
Brunei Darussalam,0.9556244974641,2.293624466229841,0.034210835397529796,2.879574224955647,0.5165204608049335,2.8114186693816636,0.02932414687296784,3.386958819855566,False
Bhutan,0.921743107457879,4.272151639533596,0.5632921735362242,4.764800178539139,0.8173825396103875,5.897208690800509,0.21640108778908718,6.351951785622869,False
Botswana,0.8978169264228888,4.404680593365304,0.1982211127043427,5.451703143755403,0.6806675678067429,6.489401744214248,0.1195118656811299,8.423243170669702,False
Central African Republic,0.7520633950877008,1.2625341188519161,0.12042916188769591,1.7822068849687427,-1,2.48249958265833,0.18654384648821404,2.793175774821588,False
Canada,0.5659460854482241,0.03280137042652894,0.007181708134425819,0.03812220429846269,-1,0.03205787416185988,0.006918210082662657,0.035043483984950365,True
Switzerland,0.10510843761493638,1.685636506675432,0.01728781393477362,2.2579566646526468,-1,2.036246159502551,0.021462403604569958,2.169038790997461,False
Chile,0.8290099858573565,0.05631981366681994,0.013208309899882286,0.07993509241692098,-1,0.04613036748601544,0.010244797994523012,0.06417158824082629,True
China,0.003248425721856796,0.19820146326508334,0.053796368263885515,0.2242353952650148,-0.3247731604199495,0.15540282152883783,0.04019377099724552,0.18697923818333573,True
Cote d'Ivoire,0.847480898997436,0.07860985014720473,0.02867244316247791,0.10379067869334863,0.17733462930296817,0.11495902063224332,0.038651801479729665,0.13952997943749598,True
Cameroon,0.8255134885072369,0.14164041540300662,0.04908412483499204,0.16652223355675372,0.18429706132638124,0.16046444093868484,0.04806508068529758,0.20384105940668815,True
"Congo, Dem. Rep.",0.6253189396945349,0.1785209865427838,0.062416953676030444,0.20571765308577855,-1,0.14191439866948558,0.04451350731762134,0.18073006309979914,True
"Congo, Rep.",0.7095029239376678,0.2076069519412774,0.05712739374034056,0.23778725838386938,-1,0.20189844378323835,0.04885061369692965,0.2431498890362859,True
Colombia,0.9609500911534878,0.051461981739959306,0.013960525887720981,0.06895430922528431,0.7235594275084622,0.05019691990266475,0.01132116279830293,0.05292749379261652,True
Cabo Verde,0.8794570636940272,7.843594000037874,0.4096223589568787,10.017519375178217,0.06001377088115578,6.13116096820365,0.08249912564364667,6.897738753993148,False
Costa Rica,0.7330185011226862,6.867221751263696,0.13459209615320109,8.269545581888089,-0.22330933643744633,11.709684532176258,0.1298183307925777,14.136032295734003,False
Cuba,0.5381766900641101,0.23102325645039445,0.05821277425893628,0.2760767669923477,-1,0.18525666120799872,0.04090269633721024,0.19855171724974327,True
Cayman Islands,0.0024456662693068676,0.09625659864115173,0.02137196971538306,0.11832524551869875,-0.042493308891946135,0.0853521516249871,0.01878377882874715,0.11069862299396778,True
Cyprus,0.7326706686376527,0.0717507574424277,0.01666488868778581,0.09337240715578389,-1,0.03668358060719541,0.008050480830607163,0.04887152509742875,True
Czechia,0.040915600148451636,3.947454336470026,0.04346300464995693,4.919816644140435,-1,2.2172497626440917,0.023221355910082057,2.4180280355569814,False
Germany,0.0009604538195633339,0.019834297734094234,0.004286321553253851,0.022398514978418743,-0.09273364460754752,0.007697539649689755,0.0016627818528972271,0.00981471151229887,True
Djibouti,0.6660664481799825,2.6740351492102654,0.22075706183031593,3.9375190263806243,0.14189666109307164,5.741383586114023,0.20356016501752078,7.748418820760644,False
Dominica,0.851313545324682,5.169353594889064,0.0629663043334421,6.538246458575994,0.5922131893639623,8.60878898574877,0.09319209790585328,9.674685144437676,False
Denmark,0.8257508388779868,2.952279410748775,0.025397301381997434,4.01134233277721,-1,6.035909994576772,0.04957945971316498,7.036112361981681,False
Dominican Republic,0.8298947093475793,0.14419516779877845,0.04041820721780616,0.1654718526812573,0.8380552160444511,0.03689641929583169,0.008660715239635108,0.047541288535648485,True
