,r2,mae,mape,rmse,val r2,val mae,val mape,val rmse,use_log
Afghanistan,0.8131565571505296,0.08701156639237743,170.73266681335932,0.10577379907541799,0.7952116026963968,0.0900929483952973,61.66988742047486,0.11135650192970477,True
Angola,0.287224264705882,0.17702982371704812,1088.3684869588326,0.257042849309779,0.287224264705882,0.17702982371704812,1088.3684869588326,0.257042849309779,True
Albania,0.469826666975819,4.811875759976532,0.35926030422157557,6.671036573562789,-0.11687730570436083,8.464939844044265,0.24620843523191666,11.303264278725402,False
Argentina,0.9277864729863713,0.10547790657861265,0.032287900688788736,0.1278249214180488,-0.14543735365923283,0.05399071558662501,0.012891270245520337,0.06063129542360263,True
Armenia,0.7904137310640991,0.11736791051442537,0.037465714919354506,0.16086497697672303,0.9274694445030177,0.03359375287875625,0.00877785297373615,0.038786722851390176,True
Australia,0.7078157907818678,2.4130539476944,0.07834304291289806,4.58215035562046,0.3825560430342251,5.057960536148885,0.12365944690153655,8.435516100156269,False
Austria,0.9510765034717346,2.806390036464179,0.11330942190236905,3.2373758643229222,0.8678974816614529,3.2876037172307457,0.054700164455439196,4.25076693077303,False
Azerbaijan,0.5432106702064458,0.06398452963838258,0.020936614425834048,0.08482165612936934,-1,0.08170280285773379,0.028034540515672605,0.11206914958778075,True
Burundi,0.5347643389889132,0.19131943644330776,1140.6612556611815,0.2273410149086158,-0.2673502129583103,0.3478840682496836,0.5637289144938404,0.3631240087680789,True
Belgium,0.961146894914839,2.7288112022249726,0.0828743404391402,3.075068232624362,0.3515074620235634,1.8194175868013212,0.029669216572966634,2.1048478954363103,False
Benin,0.6993404093764315,0.8415254971254061,0.6209652980119332,1.3174854714707218,-0.05212971478795869,1.7189719233568113,0.1794980470123943,2.6968459240741645,False
Burkina Faso,0.5024513247135036,0.1945245565633704,1063.7586814901222,0.24685901001966873,-0.2696465583881522,0.4026119000947924,0.5564096526503903,0.46115815395801907,True
Bangladesh,0.7596400117949913,0.7313128480894824,0.1508807248375534,1.0829844345784285,0.2994237234752065,1.3671374224729917,0.15010115273997207,2.0137577669156688,False
Bulgaria,0.8605681331776103,0.13174402635866989,0.0429461169208347,0.1581805869008125,0.8624925475326211,0.03750139380829722,0.00987045000552306,0.0427014629071013,True
Bahrain,0.8957514319988514,0.2650534376570302,0.22133665439500466,0.32481859506882965,-0.5557702463771585,0.2841077227663137,0.08945012076181819,0.3664296891126138,True
Belarus,0.7061932307100012,4.407616712338001,0.08849286661676621,6.036920003537447,-0.3743516991186877,7.253033149249987,0.09681578491927223,8.6883351041472,False
Belize,0.9820484487693175,0.9736770765395228,0.37074754661798254,1.143676002032821,0.7180806236602071,1.153099621020516,0.061799837861787575,1.380669452588786,False
Brazil,0.97617472520107,0.9314261179572436,0.03828480554724496,1.0716156810603747,0.97617472520107,0.9314261179572436,0.03828480554724496,1.0716156810603747,False
Barbados,0.8418180630358774,2.2577129276765935,0.20265517054862695,2.5409393683542203,0.8418180630358774,2.2577129276765935,0.20265517054862695,2.5409393683542203,False
Brunei Darussalam,0.8904988801350111,0.19507430071293552,4.122007069213281,0.27825582296238893,-1,0.16710270200513597,0.061684410297562185,0.193251327911902,True
Bhutan,0.939932951024162,0.459488803706793,0.27696623899832323,0.6126552544251196,0.939932951024162,0.459488803706793,0.27696623899832323,0.6126552544251196,False
Botswana,0.7885588947851032,1.5675433619683545,1260.596427143502,2.3168265571032856,0.09748583621969664,3.2409752250338983,0.18203016821517987,4.8810176006428065,False
Central African Republic,0.6210902695049285,0.055936375921424565,230.14348108494784,0.07081535721005185,0.3628253712966877,0.08401645695605522,0.842315893078881,0.09919710535046816,True
Canada,0.004464306579426536,0.19901987902238968,0.04673389173894317,0.22061242377323065,-0.4557647164833625,0.18468230806832286,0.0441712255390159,0.1876027469969807,True
Switzerland,0.9771020132165608,1.5219088882171605,0.07007780951778879,1.7140232089516247,0.5176625276523291,2.402877200116521,0.050815364916791936,2.6282665478864593,False
Chile,0.854992635784983,4.426824030559322,0.2319687727356419,5.288553046671067,0.11287287026815418,6.866761678725055,0.12266294445167066,8.878419584865219,False
China,0.7117295527770094,2.956409528809088,2.654425599049099,3.5397362010541946,-1,5.828332138020348,0.2797202898709591,6.270052578340983,False
Cote d'Ivoire,0.8942485160537484,0.4927712176362937,0.2006657076416094,0.6566966317570204,0.7769991765205447,1.0350438069792438,0.25154850237810955,1.0918207899636696,False
Cameroon,0.9420301537778831,0.3686339697567805,0.20869696768961157,0.45190656703757126,0.561720225556173,0.5612297461535107,0.08908113869133893,0.7356505110549586,False
"Congo, Dem. Rep.",0.897821530266693,0.11371748694568704,0.08306927549245754,0.1441867910346252,0.7482451820529832,0.18881943476273258,0.10647093037389214,0.21325125095072806,False
"Congo, Rep.",0.6046055778056113,0.8030629097673645,0.24477931095838612,0.9868661993836537,-1,1.0138706412156746,0.22247487314776673,1.3333710187464765,False
Colombia,0.9250272249235706,1.8181689839043915,0.1488688815024223,2.3197671726943088,0.3418930882752277,3.2079895028199745,0.0912532238842349,4.151273756089493,False
Cabo Verde,0.935912981205365,0.13503465821365998,0.14177340588775328,0.17553556989129418,0.935912981205365,0.13503465821365998,0.14177340588775328,0.17553556989129418,True
Costa Rica,0.8948870020183749,0.10872189980291994,0.03855583637186443,0.1259712093936603,0.6883227783223577,0.07228464360362552,0.02231556209462363,0.077432359391876,True
Cuba,0.47998030923030977,12.307470431739452,0.6593498893597612,17.823691620861542,-0.47823235882226367,31.829246466027815,0.40095359124359203,37.32843855562801,False
Cyprus,0.8345308510750648,4.024832431910387,1.0123554790142972,5.103311090119828,0.11732439970054642,6.790443760893507,0.1712886201774569,8.444974764979294,False
