,r2,mae,mape,rmse,val r2,val mae,val mape,val rmse,use_log
Afghanistan,0.3987173859214018,0.043613442722576855,0.004077093292451486,0.05279132699041299,0.15658712501144711,0.04328269826800355,0.004067896236272102,0.04938817879928994,False
Angola,0.09872480925278215,0.18873854931310685,0.13653568206475097,0.27070203951748584,0.11711099815679515,0.4223987514978422,0.290529800149524,0.47108260559038106,True
Albania,0.05274021993944111,0.17066186031138522,0.062230165630979294,0.2239143013734731,0.2150877532052904,0.0698007572066734,0.026944521738065386,0.10608033208297389,True
United Arab Emirates,0.746194357255563,0.6955807311160891,0.1948669962877993,0.8299171728214693,-1,1.043400553296928,0.1678700630287234,1.1725730627895554,False
Argentina,0.00024467506755099233,0.30103498401267487,0.12836000829612337,0.3699851549334612,-0.34654223459282574,0.2508467834262248,0.10752551625197704,0.2791705172435379,True
Armenia,0.1134911952402804,3.174272154164656,0.5494258360852317,3.7466839962719165,-1,2.177257249392574,0.21452582104518317,2.4465238855172657,False
Australia,0.8535112613420616,0.5682658174289948,0.08604294163064183,0.6533866168149255,-1,0.6957115879621831,0.13281671894871788,0.7666590133246052,False
Austria,0.16505141887711783,0.5007655945536336,0.10766681794540872,0.5721959751638049,-0.2361223325255648,0.5548331448916259,0.10908956084379333,0.6181122210227097,False
Azerbaijan,0.0552498536794549,2.71756227137587,0.7447878573970812,3.123756125905011,-1,2.1564803435252236,0.3441775692070549,2.3665314579850656,False
Burundi,0.5141150991397887,0.24670218757473397,0.136851596831159,0.30047857557513746,0.38775021897335615,0.4290175900310329,0.2887943959487819,0.45549525149608616,False
Belgium,0.49242396534953703,1.1415192316672629,0.12051411299037076,1.3101457018466474,0.14228536388085133,0.5819653876686952,0.06890327234104825,0.6658926993874592,False
Benin,0.27995132773934406,0.13003649353402527,781.3040082690143,0.20401116309760067,0.2021630387716361,0.2893882598647025,1129.0754466048145,0.3586368017006035,True
Burkina Faso,0.7252073543960122,0.26895631359907635,0.0876590989569187,0.3333124780588621,-0.39539886763832177,0.27655393201664713,0.06595615656686367,0.42724392631787206,False
Bangladesh,0.8130712046579639,0.6061930440246056,0.16822283473925562,0.7687095742376516,-0.7720783371668991,1.131358209242464,0.18927534847423474,1.242987090489369,False
Bulgaria,0.17594247888280146,2.3052473350474685,0.19854230143834195,2.9112326636434798,-0.4156164886558278,1.9912977507277074,0.2702374872137046,2.596369774355909,False
Bahrain,0.18608150156362813,0.08275176920584197,0.022012645591716465,0.10473089330035555,-0.35618958446793036,0.12692071014457876,0.03406731133845802,0.15240130272140437,False
"Bahamas, The",0.041756910684264126,2.140442784710892,0.1983602850979317,2.5716708475046306,-0.2904217224368395,2.2476299453919983,0.18588938417792783,2.7546781846379704,False
Bosnia and Herzegovina,0.5368116212762122,2.0799689276369704,0.07465527943685918,2.472776393672482,-0.714912536273353,3.5202163294762925,0.11746388645115866,3.7484259526809964,False
Belarus,0.0012130992541389274,0.510112167992184,1145.6599741824605,0.6870219215163835,-1,0.2884557499578988,0.17994409794445154,0.34491136683744683,True
Belize,0.12563934438132773,2.2210660786530676,0.13508213857442683,2.6126387410010246,0.12440254095238656,1.5174533137674697,0.11304855688861999,1.71366697131564,False
Bolivia,0.16036844923631566,0.10603758899965758,0.11285685742441202,0.12696712906762087,-0.7012585306758075,0.10095447016049701,0.08743145005927552,0.11126656149816685,True
Brazil,0.24118758306822952,1.8911338143667582,0.17579725965426016,2.134803517784203,-1,1.808300204479299,0.1632203419180168,2.2439213200043278,False
Barbados,0.7325416323336291,2.8349149564225598,0.19174333748969044,3.361437733055938,-1,2.583548418292475,0.23032757232885182,3.3705436397508644,False
Brunei Darussalam,0.9764872493986937,0.03854514605765306,0.005395734079859247,0.04731775873576088,0.9161843584482632,0.04498974235608246,0.005903493916907733,0.052035906291945926,False
Bhutan,0.6959077048734919,0.48405182170537153,0.22589458461188017,0.6720449567649338,0.012025877329332135,0.7811524886333568,0.2254654621252779,1.0503975297491015,False
Botswana,0.009449599858174729,2.051870198804822,0.09835251869203097,2.405983754652459,-0.06955030391060868,1.7349502995020323,0.07814932897246833,2.173484746692162,False
Central African Republic,0.6816192944769831,0.07317622153386344,0.012074142685907154,0.09755661439629955,0.41674097065780247,0.09803725853400369,0.015487509299050623,0.12792345796373567,False
Canada,0.7254876469889155,0.08258543419483712,0.041274811809014905,0.09682460817792819,-0.99657273818945,0.11194627875149091,0.05966556508386546,0.1259589858026767,True
Switzerland,0.27585912459489514,0.11979946512830478,0.0936040004946645,0.1461203043611333,-1,0.08438845186333913,0.05437638393981671,0.10182583799357106,True
Channel Islands,0.15511684592314512,0.7006214996186354,0.09508249287918474,0.7859907450990322,-0.3570059414521558,0.7301019461618032,0.10037181442314949,0.8705414091425697,False
Chile,0.40392292208827274,1.8748601672909533,0.22419038064116031,2.2082779917775968,-1,1.910486949409416,0.19519324322154158,2.480720619179818,False
China,0.8923343950647087,0.05749996730279622,0.0528693507166223,0.07289323278447613,-1,0.07957418526137519,0.058026603515900346,0.09706717260610292,True
Cote d'Ivoire,0.08015982511588249,0.8654762075245552,0.1584472021234514,1.0158068567525769,-0.20018903094727847,0.5420527123577668,0.07933757401743313,0.6670410685123033,False
Cameroon,0.6227051469337255,0.0902049624104898,0.05416975778188929,0.1125983988802759,-0.34586022115225545,0.11315037973707207,0.08096247444803349,0.14863041068659827,True
"Congo, Dem. Rep.",0.19597484622001538,0.08044108985036118,0.0857105132253243,0.10043273717631496,0.2419361352929673,0.1373362509816088,0.13875355222475041,0.1529741840438592,True
"Congo, Rep.",0.4610187145766652,0.0040715374403023155,0.0013302287728471744,0.005045711104977995,-0.6889878847047908,0.00607419772390867,0.0019865682109222395,0.0072124584123708976,True
Colombia,0.017016208946001754,3.2908336854528186,0.20310956654307014,3.9525878365994838,-1,2.73674814886093,0.19445912687479616,2.9483317011109413,False
Comoros,0.4263234855199234,0.10661016575589548,0.0609162845484589,0.12637305656994202,0.39237969017997554,0.15393781310591761,0.08115917845722755,0.17377298025187635,True
Cabo Verde,0.8896302855818726,0.005121431914952832,0.002086371648170742,0.008486252514041842,-0.2480607567369828,0.011032705429341849,0.004527157100772379,0.01465234461142145,True
Costa Rica,0.5069919683548811,0.11022215209272765,0.05762540487658706,0.1431876614926727,0.204967075311549,0.1233166749967547,0.06085756750359859,0.17664820622436697,True
Cuba,0.8112063716541226,0.256804621451414,0.20533027509726,0.3094411635802686,-1,0.4485982109156116,0.5158350697789109,0.47770998574810614,True
Cyprus,0.372766780542364,1.0522242027076172,0.2093521340184351,1.3926117471856563,0.24027281062273298,1.3138916115374435,0.22409706769737653,1.652946485434742,False
Czechia,0.404931314202134,1.6680860978132745,0.29095243821795364,1.9395866493810114,-1,1.7766574418436818,0.23462747205886442,1.9430149671340244,False
Germany,0.13794575894651584,1.1069732846733924,0.1379844450414094,1.37548240574913,0.2319159757083844,1.472709167889533,0.19634622873580027,1.667533156163756,False
Djibouti,0.948757284978267,0.002583888590688784,0.0007128373958372942,0.003071378385954885,0.8606050332797438,0.003062838476508256,0.0008493122910812866,0.003637944699059089,True
Denmark,0.42154501007166434,0.19635545559282724,0.10843016012925422,0.23256257539772818,-0.818273243670667,0.2343636328379201,0.1311215825043032,0.2938201423955629,True
Dominican Republic,0.5098790701665298,0.0665911357920621,0.029685108032278446,0.0830711755816654,0.17248107193083273,0.09503178215379189,0.04553577233797043,0.11318416038674398,True
Algeria,0.15436501601236685,3.9657599738492912,0.18087605856696118,4.53338101146647,-1,3.3701757607832734,0.191065790514982,3.651410116674574,False
Ecuador,0.5037774032527571,0.4210539782898172,0.07737659076668661,0.5352863606416883,0.2085919763147459,0.6003407683610383,0.1294024537733611,0.6924419749186723,False
"Egypt, Arab Rep.",0.09872210396326264,0.09064480939135539,0.029866581866223988,0.10442726674515777,-0.10686497752446766,0.09252391445322523,0.030050008787130274,0.11482907307317541,True
Eritrea,0.9229242968396559,0.064917881396346,0.010449663326248656,0.0812589261707902,0.6452885011075233,0.07858239553513399,0.011875952762190719,0.10126301718012898,False
Spain,0.41283701205337675,0.20965161353724326,0.07149105155528705,0.2435318549595017,-0.6292357951905783,0.3313348277633316,0.12143339781690461,0.3560048641034233,True
Estonia,0.1772393900225454,2.2115469587772565,0.46894778919193914,2.786845333865352,-0.13703515083105744,2.595640905482451,0.44466246990855074,3.2495728378211504,False
Ethiopia,0.02672622176272854,0.5633846757977168,0.1482155544665498,0.6245174506822538,-1,0.42470647838533493,0.13354105403858857,0.44396589563216315,False
Finland,0.18842352904417714,0.21309585745590642,0.09925255556887785,0.29707664541235523,0.02981403419848261,0.12545399062773022,0.06233442787504291,0.14236624473122694,True
Fiji,0.48470393263930667,0.29615801933850583,0.05245013103926007,0.3370998745506791,0.36212956810915553,0.37738718275638056,0.07270619732542863,0.4023647479595773,False
France,0.630425504173117,1.2386148685459897,0.10762896416353716,1.3942867964929766,-1,0.9958894416512318,0.1148905650987272,1.1277178783922286,False
Gabon,0.968999584252092,0.5705557039818991,0.027857506236680943,0.7183633462932378,0.8833138090092568,0.7723074213957517,0.029760590655037684,0.9095364807665223,False
United Kingdom,0.1601577828520565,0.17123380553642206,0.10058720101375045,0.20202726510390104,-0.45351795172909193,0.22966909263573063,0.13365965026336163,0.26893214392595843,True
Georgia,0.6871836594178986,0.19765203638501197,0.11234535510319799,0.27127833900569015,0.4847975323091749,0.1265564280052022,0.04775953921745172,0.14632225727591167,True
Ghana,0.014994065767008569,1.757916295089808,0.28440617174030314,2.0995766279507673,-1,1.4554783372224496,0.30604696510394447,1.6549730348251293,False
Guinea,0.3590423163277313,0.03827110110621983,0.028873624009839564,0.045033067660969824,0.34135811602835886,0.04058588217853998,0.028807224229065016,0.0484684093821485,True
"Gambia, The",0.9785537054897037,0.08354360503372812,0.007312564121558579,0.10623497536493232,0.8855321929755792,0.10916175034280311,0.00888005487810672,0.1512484083422812,False
Guinea-Bissau,0.45828997074497957,0.0215263537732445,0.007409634756586971,0.04116432078162877,0.6906026802218088,0.01071378671606249,0.003857317083722056,0.013835498826336879,False
Equatorial Guinea,0.9334408123480431,0.01040201158595542,0.004766973747682137,0.013149859824119968,0.41841894480394914,0.01620991147244113,0.00728545008526626,0.018472447613268415,True
Greece,0.20204738424497204,0.10138588880568776,0.036651118300146286,0.1463952013830325,0.07957551714028077,0.19355322578300577,0.06995684361169424,0.23963272377658915,True
Guatemala,0.5609893365763212,0.05997141252035953,0.01704930222845675,0.0839593281190622,0.22604174526384535,0.11247872212466023,0.03088619368735771,0.14011794226937807,False
Guam,0.47824240052930156,1.711423049982099,0.22057154283259606,2.128709609526033,0.12241782766625664,1.981081912001732,0.21034868670867185,2.176480055663949,False
Guyana,0.3779774722870606,0.019721080425176424,0.0073535111714427,0.026393559408853948,-0.5334027887146378,0.03435834809198388,0.012996104254324084,0.04129459692648632,True
"Hong Kong SAR, China",0.25100976425065835,0.9770510603914401,0.3131811824126434,1.1727343028640702,-0.6474289802594755,1.2029446270057012,0.3276068166347382,1.4159835349216188,False
Honduras,0.2642520879012513,0.7767239854925828,0.16996474306619577,1.0306911003584633,-0.31202802254675,1.2017064302725586,0.20668503012821038,1.5170784484846356,False
Croatia,0.15192384435777062,2.0110517665171876,0.15216200162983046,2.4623293454405695,-0.49183126759891915,2.031092857658351,0.1686709361967656,2.369621458451243,False
Haiti,0.8109521561284674,1.4731919713927089,0.13958231936583476,1.680474042576392,-0.30632456089986504,1.5615108951382037,0.08835173011609647,1.8123601881328126,False
Hungary,2.317824674413771e-07,1.4532038665691205,0.20726792087695947,1.793029925476106,-0.08593759931638445,1.5732597512569462,0.18974694705223555,1.969778651868012,False
Indonesia,0.4374277211714154,1.1638504768117643,0.22026637626573353,1.4834923241802995,-0.7205940221753742,2.0846632153768434,0.3028491710005821,2.3163833894648014,False
India,0.8241438500911835,0.2469849930590244,0.031018814517833268,0.31716869514187385,-1,0.4495511126079531,0.05233441819402722,0.5048544372901295,False
Ireland,0.23496092266264568,0.4234091499010041,0.23325054543090296,0.48994285994672315,-0.6575446189787844,0.5477645024776988,0.28675629064997393,0.6270176137566893,True
"Iran, Islamic Rep.",0.006694176268892571,0.12971668535177058,0.04488053973132364,0.15373626530218076,-0.0767472650425256,0.09173374436611104,0.03156350410689206,0.10146817051373895,True
Iraq,0.010347287088299129,0.08116724924586087,0.03693980412061816,0.10557107865755602,0.05013000728835282,0.155500115754638,0.06993745985034347,0.17400410220053514,True
Iceland,1.6635072867310363e-05,1.1623089052503774,0.32610557876812324,1.329937627131802,-0.028473541658952772,1.5123568524621713,0.39023046707057046,1.6808776080259262,False
Israel,0.531334392300967,1.5206428871628037,0.13043936466136433,1.7794284135713225,0.5155982495241465,1.3918753109288182,0.1330993307871428,1.708941276327218,False
Italy,0.6560348675319201,1.3523764187962466,0.10616094589553084,1.6245816180725214,-1,1.511927753855036,0.16176039660116942,1.825213648303985,False
Jamaica,0.17788547549626121,0.025894384989739557,0.011512652832691823,0.039745956768953615,0.16914093968785004,0.05866299608779344,0.025824802650150004,0.06984224211799146,True
Jordan,0.4240978656631773,0.09752396439823059,0.030521536661772597,0.10546935108013886,-0.31934947488232757,0.08847070485437332,0.02776497607201065,0.1038480588919653,True
