,Aruba,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cuba,Curacao,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,Isle of Man,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Moldova,Madagascar,Maldives,Mexico,Marshall Islands,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Somalia,Serbia,South Sudan,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Tuvalu,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
0,64.152,32.535,38.211,54.439,48.811,63.978,61.431,61.55,70.8170731707317,68.5856097560976,55.837,43.024,69.7019512195122,38.181,35.872,44.74,69.2475609756098,50.33,62.896,61.037,69.2546097560976,58.163,67.162,43.1,52.66,64.564,56.793,33.465,50.372,39.236,71.1331707317073,71.3134146341463,71.47,57.015,33.275,38.108,34.819,40.857,47.979,57.13,39.694,49.411,60.415,64.173,65.7780243902439,64.187,70.3487804878049,69.0640731707317,43.429,59.026,72.1765853658537,50.264,40.532,53.364,45.373,37.5,69.1092682926829,68.933512195122,40.33,68.819756097561,57.588,69.8682926829268,70.37995526950914,56.409,46.575,71.1268292682927,61.222,47.096,69.309,36.547,35.098,37.464,41.729,69.3,60.76,58.03541953282114,45.808,60.897,58.034,65.8662926829268,48.317,65.4823658536585,43.499,68.0031707317073,46.452,64.409,45.218,70.1942682926829,43.957,52.618,73.7620487804878,69.48004048535843,69.1239024390244,64.042,52.617,67.6956097560976,58.370512195122,48.68,55.0830243902439,42.361,47.873,55.909,54.320243902439,56.919,40.79,64.841,38.33,40.268,55.724,68.65041851896349,60.699,50.364,69.8473170731707,68.5925365853659,69.7868292682927,64.965,67.865,42.017,61.074,43.241,38.529,55.017,53.821,56.2230487804878,29.754,68.2142926829268,43.906,64.8736097560976,44.984,41.221,44.767,55.4665365853659,35.199,56.502,47.679,58.6390243902439,36.404,37.371,46.125,73.3926829268293,73.549756097561,38.559,58.572,71.2365853658537,35.45,44.932,60.702,50.495,59.227,45.679,67.6804878048781,68.934,54.05,64.0074634146342,60.423,61.87116403958944,59.675,58.933,65.8605365853659,67.4652195121951,47.178,45.94,46.603,39.878,64.6946829268293,47.741,33.961,48.084,43.452,63.934,28.662,43.04,57.102,70.2697804878049,68.9780487804878,73.0056097560976,45.813,66.246,65.80871099902963,53.547,55.032,38.374,42.692,51.035,53.628,53.469,32.2,58.231,63.026,43.94,50.74,46.355,42.937,45.506,69.4850487804878,67.772,69.7707317073171,57.473,56.443,58.647,59.564,63.7459756097561,59.657,49.63,54.688,61.485,33.678,52.669,49.042,53.235
1,64.537,33.068,37.267,55.634,49.695,64.36,61.803,62.363,70.9731707317073,69.5773170731707,56.192,43.252,70.5209756097561,38.542,36.24,45.662,70.1956097560976,52.112,63.185,61.856,69.7383902439024,53.356,64.111,43.4,53.183,65.318,57.817,33.946,50.891,39.737,71.3460975609756,71.6448780487805,69.747,57.537,40.468,38.744,35.406,40.239,48.697,57.73,40.147,49.953,60.901,64.512,65.9092926829268,64.804,70.5126829268293,69.6448780487805,43.721,59.949,72.4382926829268,50.84,40.516,53.895,46.024,37.974,69.4804878048781,68.9621219512195,40.995,68.8441463414634,58.199,70.1170731707317,70.58543856425545,57.11,47.228,70.8780487804878,61.416,47.325,69.234,36.75,35.568,37.695,41.994,70.3158536585366,61.792,58.270668952714914,46.47,61.395,58.46,66.5588780487805,48.73,66.1803414634146,43.914,68.9360975609756,47.117,63.629,45.398,69.6782926829268,44.55,53.411,73.5034146341464,72.0065853658537,69.760243902439,64.394,53.671,68.3519512195122,58.5030731707317,49.533,55.3209512195122,42.792,48.381,55.818,54.924,58.015,41.066,65.29,38.333,42.063,56.993,68.90619368016338,61.328,50.429,70.1026829268293,69.2668292682927,70.0324390243903,65.485,67.704,43.795,61.446,43.636,38.982,55.831,54.316,57.7998292682927,29.83,68.0136097560976,44.385,65.4191219512195,46.068,41.59,45.44,56.5219756097561,35.326,57.434,48.374,59.0390243902439,36.556,37.673,46.948,73.6526829268293,73.5504878048781,38.855,58.665,70.9853658536585,36.823,45.783,61.471,51.091,59.619,46.292,67.7780487804878,69.262,54.496,62.666512195122,60.755,62.08924285190616,59.996,59.626,65.8771463414634,67.6309512195122,47.664,46.484,47.023,39.917,65.5179512195122,48.434,34.412,48.849,43.563,64.0574146341464,28.84,44.359,57.767,70.7239024390244,68.9780487804878,73.4743902439024,46.191,65.73,65.95554714505091,54.437,55.313,38.631,42.882,52.364,53.998,53.939,32.574,58.589,62.865,44.146,51.55,47.271,43.1,46.257,69.5723658536586,67.895,70.2707317073171,57.795,57.932,59.407,60.219,63.7845365853659,60.261,50.15,55.315,61.836,34.098,53.085,49.452,53.619
2,64.752,33.547,37.539,56.671,50.686,64.244,62.125,63.192,70.9424390243903,69.309512195122,56.516,43.441,70.219512195122,38.928,36.665,46.701,69.4919512195122,53.697,63.433,62.511,69.4623170731708,59.0,63.837,43.791,53.71,65.897,57.667,34.469,51.389,40.256,71.3670731707317,71.1960975609756,72.043,57.771,50.818,39.402,42.516,40.342,49.499,58.301,40.58,50.392,61.111,65.038,66.1990243902439,65.424,69.7868292682927,69.7992195121951,44.088,61.741,72.319756097561,51.411,39.323,54.401,46.843,38.393,69.5190243902439,68.7918048780488,41.403,68.5778048780488,58.934,70.3146341463415,70.79092185900178,57.803,47.838,70.9268292682927,61.858,47.405,69.481,36.913,35.989,37.932,42.258,70.2549756097561,62.877,58.50591837260869,46.995,61.708,58.864,66.9771707317073,49.668,66.4691463414634,44.291,67.8658536585366,47.871,64.293,45.659,69.9910487804878,44.269,54.326,73.7219512195122,72.1121951219512,69.149756097561,64.491,54.658,68.6348780487805,58.621756097561,50.224,55.6489268292683,43.316,48.96,57.183,55.519512195122,59.079,42.009,65.397,38.402,43.843,58.041,69.16196884136326,61.733,50.409,69.0953658536585,68.1051707317073,69.430487804878,65.946,68.387,44.297,61.922,44.056,39.458,56.599,54.928,57.5233414634146,29.939,68.3859268292683,45.023,65.8979756097561,47.109,41.832,46.049,57.4912926829268,35.654,58.404,49.087,59.4390243902439,36.639,37.809,47.575,73.3239024390244,73.4480487804878,39.153,58.862,71.2317073170732,38.192,46.608,62.154,51.31,59.959,46.659,67.4268292682927,69.284,54.999,64.1810243902439,61.058,62.30732166422287,60.271,60.443,65.2556585365854,67.300512195122,47.991,47.1,47.354,39.856,66.285756097561,49.254,34.875,49.6,43.877,64.4788292682927,29.119,45.861,58.474,70.2702926829268,68.9780487804878,73.3504878048781,46.614,66.807,66.10238329107221,55.086,56.266,38.835,43.154,52.79,54.257,54.325,32.953,59.085,63.427,45.513,52.382,48.193,43.285,46.965,69.3345853658537,67.994,70.119512195122,58.066,59.482,59.529,61.601,63.6580975609756,60.131,50.676,55.89,62.134,33.615,53.376,49.794,54.071
3,65.132,34.016,37.824,57.844,51.584,64.449,62.223,64.101,70.9117073170732,69.4436585365854,56.898,43.718,70.0514634146342,39.334,36.974,46.655,70.3092682926829,55.285,63.732,63.274,69.7097804878049,59.569,63.778,44.077,54.209,66.487,59.779,35.029,51.881,40.781,71.3807317073171,71.1875609756098,70.305,57.15,51.408,39.955,42.918,40.604,50.118,58.892,40.926,50.894,61.624,64.94,66.4743170731708,62.282,70.3043902439025,69.9140731707317,44.414,58.688,72.4004878048781,51.799,42.908,54.88,47.672,38.774,69.6812195121951,69.2101219512195,41.956,69.0126829268293,59.552,70.5146341463415,70.9964051537481,58.176,48.479,70.8268292682927,62.228,47.578,69.257,37.164,36.496,35.661,42.546,70.6105365853659,64.077,58.741167792502466,47.407,62.359,59.202,67.6857317073171,50.25,66.8558048780488,42.769,68.8741463414634,48.429,63.522,45.936,70.2300975609756,45.619,54.948,73.0429268292683,70.17091758887032,69.2480487804878,65.27,55.575,69.7124390243902,58.944512195122,50.808,55.9769512195122,43.898,49.624,58.608,55.9748780487805,60.162,41.332,65.668,38.473,45.305,58.889,69.41774400256315,61.976,50.263,70.2043902439024,68.7219268292683,69.8290243902439,66.386,69.384,44.82,62.355,44.448,40.071,57.31,55.515,56.6993414634146,30.154,67.8719512195122,45.636,66.8162195121951,48.065,41.934,46.689,58.3532195121951,35.618,59.26,49.714,59.8878048780488,36.736,38.192,48.304,73.3370731707317,73.0775609756098,39.453,58.902,71.280487804878,39.417,47.632,62.735,52.2,60.388,47.599,68.3756097560976,69.477,55.56,64.7883902439024,61.334,62.52540047653959,60.527,61.167,67.0717073170732,67.7571707317073,44.072,47.609,46.189,39.882,66.7147073170732,50.049,35.344,50.253,44.1,64.8923658536585,28.826,46.094,59.039,70.6334146341463,68.6219512195122,73.5553658536585,46.854,68.566,66.2492194370935,55.778,58.107,39.072,43.372,53.244,54.542,54.785,33.258,59.551,63.822,46.5,53.173,49.075,43.494,47.431,69.7874878048781,68.084,69.9170731707317,58.44,61.063,60.152,63.533,63.4234878048781,58.701,51.228,56.46,62.44,33.247,53.633,50.133,54.549
4,65.294,34.494,38.131,58.983,52.848,64.363,62.418,65.058,70.8809756097561,69.9219512195122,57.196,43.974,70.7551219512195,39.758,37.251,47.741,71.1212195121951,56.778,64.05,63.948,70.619243902439,60.057,67.641,44.366,54.648,67.02,60.582,35.618,52.349,41.345,71.7763414634146,72.0778048780488,72.476,58.738,52.156,40.606,43.31,40.052,50.696,59.375,41.25,51.345,62.083,65.905,66.6675853658537,62.79,70.459512195122,70.4355609756098,44.667,64.493,72.4851219512195,52.542,42.788,55.305,48.47,39.24,70.399756097561,70.0573170731707,42.275,69.2209756097561,60.219,70.6634146341463,71.20188844849442,58.532,49.048,71.6243902439024,62.333,47.719,70.168,37.341,36.948,35.984,42.749,70.5693902439025,64.841,58.97641721239624,47.712,62.878,59.494,68.4460975609756,50.812,67.2923170731707,44.968,69.3809756097561,49.232,64.838,46.184,70.4899268292683,46.196,55.633,73.5417073170732,70.40120995670763,70.3117073170732,65.622,56.559,70.2065853658537,59.1574878048781,51.328,56.1803414634146,44.398,50.323,59.037,57.1747804878049,61.158,41.649,65.953,38.607,47.142,59.966,69.67351916376305,62.174,50.189,71.5090243902439,69.3916829268293,71.0280487804878,66.8,69.495,45.392,62.81,44.87,40.722,57.947,56.049,58.9859268292683,30.418,68.7980487804878,46.497,67.1505365853659,48.921,41.67,47.446,59.14,35.692,60.063,50.434,60.3365853658537,36.744,38.415,49.169,73.7041463414634,73.5958536585366,39.994,58.997,71.3292682926829,40.679,48.595,63.203,52.717,60.541,48.202,68.6292682926829,69.693,56.157,64.9833902439024,61.583,62.7434792888563,60.781,62.112,67.8451219512195,68.3671707317073,48.238,48.148,49.457,39.885,67.0743902439024,50.859,35.87,50.734,44.3,64.7863902439024,33.149,47.161,59.625,71.0198780487805,68.6634146341463,73.7331707317073,47.335,68.604,66.3960555831148,56.5,60.159,39.333,43.702,53.978,54.846,55.177,33.602,60.054,63.843,47.365,53.714,49.984,43.747,47.889,70.205512195122,68.179,70.1658536585366,58.846,62.667,60.609,64.647,64.6180731707317,59.323,51.706,53.601,62.734,34.738,53.906,49.849,54.994
5,65.502,34.953,38.495,60.019,53.985,64.593,62.754,66.026,70.850243902439,69.7221951219512,57.619,42.005,70.6253658536586,40.184,37.691,46.858,71.2939024390244,58.228,64.362,64.555,70.5974878048781,60.629,67.848,44.712,55.084,67.376,61.193,36.24,52.809,41.929,71.8721951219512,72.2017073170732,72.031,59.455,52.912,41.177,43.889,40.704,51.2,59.815,41.7,51.808,62.663,66.318,66.9062195121951,67.052,70.1631707317073,70.4103658536585,45.088,64.587,72.3707317073171,50.864,42.714,55.664,49.128,39.554,70.8092682926829,69.6807317073171,42.444,68.9778048780488,60.805,70.8121951219512,71.40737174324073,59.11,49.752,71.6243902439024,62.852,47.778,70.608,37.599,37.445,36.383,43.054,71.4283170731707,64.728,59.21166663229002,47.814,62.893,59.742,69.2512195121951,51.465,67.8325609756098,45.351,69.0712195121951,42.599,64.978,44.98,70.695,46.744,56.616,73.8687804878049,70.63150232454493,70.1717073170732,65.972,57.415,70.2668292682927,59.4616829268293,51.7,56.4094878048781,44.789,51.038,59.593,58.2404878048781,62.219,42.056,66.065,38.812,48.657,60.883,69.92929432496294,62.637,50.057,71.3251219512195,69.0254146341464,70.7265853658537,67.199,68.489,45.973,63.152,45.222,41.383,58.499,56.564,60.0019268292683,30.623,68.4015609756098,47.46,67.9873658536585,49.619,41.699,48.059,59.5678536585366,35.724,60.95,51.039,60.7853658536585,36.753,38.68,50.193,73.5687804878049,73.7231707317073,40.446,59.288,71.2268292682927,41.885,49.444,63.558,53.183,60.898,48.816,69.4292682926829,69.991,56.827,65.9604634146341,61.819,62.96155810117302,61.045,62.85,67.7072682926829,67.887756097561,48.282,48.782,46.935,39.838,67.512512195122,51.659,36.363,50.897,44.544,65.0941707317073,29.288,49.022,59.485,70.2352682926829,68.3658536585366,73.8617073170732,47.907,66.403,66.54289172913609,57.113,61.102,39.12,43.97,54.712,55.094,55.522,34.357,60.58,64.147,48.428,54.258,50.893,44.026,48.24,69.8683902439025,68.294,70.2146341463415,59.203,64.264,61.248,65.238,65.273,58.692,52.294,57.54,63.041,35.373,54.192,50.563,55.459
6,66.063,35.453,38.757,60.998,55.185,64.891,62.945,66.956,70.819512195122,70.0458536585366,57.672,43.531,70.7063414634146,40.648,37.916,48.577,71.2234146341464,59.656,64.659,65.171,70.7689268292683,60.963,63.426,45.118,55.473,67.805,61.963,36.901,53.264,42.531,72.0043902439024,72.3356097560976,72.366,59.689,53.637,41.819,44.436,42.053,51.774,60.204,42.147,52.356,63.367,66.715,67.1986097560976,67.495,70.3848780487805,70.5215853658537,45.474,63.49,72.4441463414634,53.666,42.543,55.942,49.504,39.882,71.0551219512195,69.627756097561,40.15,69.4770731707317,61.154,70.9609756097561,71.61285503798706,59.337,50.349,71.5731707317073,63.075,47.727,69.594,37.84,37.898,36.698,43.264,71.7527073170732,64.655,59.446916052183795,47.764,62.778,59.937,69.5388780487805,52.091,68.1214390243903,45.594,69.8224390243902,48.2,65.273,45.333,70.2169512195122,47.421,57.348,73.3004878048781,72.2856097560976,70.9260975609756,66.355,57.869,70.9158536585366,59.6992195121951,52.097,56.8101463414634,45.363,51.779,60.022,59.5047073170732,63.075,42.096,66.159,39.081,50.132,61.796,70.18506948616282,63.055,50.148,71.520243902439,69.1756341463415,70.7073170731707,67.647,69.541,46.562,63.392,45.573,42.055,58.981,57.052,61.9598536585366,30.871,68.634512195122,48.369,68.8546829268293,50.186,41.639,48.728,59.1501951219512,35.866,61.375,51.439,61.2341463414634,36.807,38.797,51.316,73.5129268292683,73.9953658536585,40.866,59.263,71.1243902439025,43.066,50.842,63.789,53.699,61.198,49.508,69.8268292682927,70.248,57.598,65.4876585365854,61.988,63.17963691348973,61.334,63.624,68.8976585365854,67.9011951219512,48.166,49.343,44.626,39.961,67.797,52.461,36.868,50.964,44.76,65.7846829268293,26.084,51.56,59.691,70.3774390243903,69.0121951219512,74.0785365853659,48.56,68.325,66.68972787515739,57.598,60.757,39.15,44.373,55.254,55.347,55.92,34.998,61.132,64.376,49.327,54.71,51.767,44.381,48.338,69.7309512195122,68.427,70.2121951219512,59.464,65.651,61.801,65.333,64.9280243902439,58.467,52.862,57.922,63.323,36.097,54.391,50.679,55.889
7,66.439,35.924,39.092,61.972,56.339,64.992,63.213,67.859,70.8692682926829,69.9178048780488,57.973,43.341,71.0129268292683,41.055,38.294,48.865,70.4139024390244,61.002,64.948,65.553,70.9297804878049,61.5,68.358,45.419,55.868,67.944,62.511,37.584,53.721,43.158,72.2078048780488,72.6365853658537,73.235,60.72,54.351,42.419,45.176,42.31,52.101,60.531,42.754,52.722,63.921,67.11,67.4914878048781,67.917,70.2641463414634,70.7317317073171,45.907,65.005,72.9221951219512,54.289,42.568,56.213,49.538,40.09,71.2529268292683,69.9401463414634,42.692,69.6665853658537,61.576,71.1609756097561,71.81833833273338,59.873,50.892,72.1243902439024,63.292,47.683,70.983,38.123,38.43,37.024,43.532,71.2987804878049,64.654,59.68216547207757,47.984,63.566,60.113,69.9254390243902,52.632,68.2989512195122,46.125,69.4070731707317,51.066,65.968,45.674,71.2453658536585,48.034,58.37,73.7831707317073,71.509756097561,70.9565853658537,66.442,59.01,71.4660975609756,59.8734146341464,52.455,57.0343170731707,45.514,52.524,60.504,61.2881219512195,63.986,42.617,66.519,39.427,51.39,62.687,70.44084464736271,63.51,50.247,71.6039024390244,69.2340243902439,70.3939024390244,68.028,70.031,47.19,63.606,46.026,42.771,59.42,57.515,62.1278536585366,31.212,69.0097804878049,49.297,68.8679756097561,50.887,41.663,49.366,58.3205365853659,35.897,61.797,52.035,61.6829268292683,36.83,37.573,52.394,73.8041463414634,74.0665853658537,41.404,59.662,71.4731707317073,44.285,51.901,64.056,54.223,61.447,50.135,69.4243902439024,70.539,58.409,66.3340731707317,62.153,63.39771572580645,61.63,64.531,67.5159512195122,67.5938048780488,48.094,50.053,45.056,40.083,68.1193170731707,53.208,37.434,50.852,44.97,65.418,26.406,54.066,59.905,70.9255853658537,69.3658536585366,74.1224390243903,49.128,69.091,66.83656402117867,58.095,59.757,39.479,44.823,55.754,55.675,56.39,35.73,61.66,64.798,50.466,55.361,52.556,44.756,48.962,69.5615365853659,68.558,70.5609756097561,59.803,66.666,62.348,65.078,65.2239512195122,58.161,53.444,58.553,63.653,36.866,54.626,50.802,56.188
8,66.757,36.418,39.484,62.946,57.54,64.89,63.334,68.671,70.9190243902439,70.0575609756098,58.367,43.378,70.6931707317073,41.522,38.531,49.09,71.2251219512195,62.31,65.328,65.883,70.8127804878049,62.192,68.535,45.796,56.31,68.114,63.005,38.266,54.188,43.797,72.3534146341463,72.590243902439,71.206,61.63,55.057,43.021,45.978,42.705,52.715,60.871,43.462,53.176,64.428,67.511,67.6584390243903,68.273,69.8407317073171,70.3784634146342,46.438,64.416,73.1214634146341,54.894,42.642,56.487,49.897,40.38,71.5378048780488,69.7512195121951,42.844,69.6163414634146,61.772,71.309756097561,72.02382162747969,60.193,51.439,71.7243902439025,63.775,47.57,70.513,38.559,38.869,37.361,43.731,71.4301951219512,65.498,59.91741489197135,48.298,64.152,60.256,70.3558292682927,53.355,68.3864146341464,46.512,69.230243902439,51.63,65.625,47.471,70.941,48.136,58.781,74.0058536585366,71.0565853658537,70.78,66.265,59.752,71.6109756097561,59.9983658536585,52.781,57.3574634146341,45.793,53.22,60.795,61.559,64.735,42.984,66.607,39.764,52.712,63.512,70.6966198085626,63.777,50.431,71.3136585365854,69.6624390243903,70.0429268292683,68.44,70.002,47.778,63.745,46.521,43.554,59.835,57.919,62.8637804878049,31.631,69.6604390243902,50.101,69.2376829268293,51.457,41.667,50.038,58.6668048780488,36.036,62.194,52.601,62.1317073170732,36.611,38.482,53.465,73.6126829268293,73.9419512195122,41.802,59.824,71.1243902439025,45.525,52.898,64.313,54.747,61.65,50.839,70.219512195122,70.679,59.175,66.6781951219512,62.319,63.61579453812316,61.909,65.242,67.5603658536585,67.4893658536586,47.745,50.915,45.456,40.268,68.2882682926829,54.239,37.846,50.775,45.173,65.6322926829268,26.708,54.916,60.062,70.436756097561,68.9170731707317,73.9729268292683,49.748,68.795,66.98340016719997,59.065,58.474,39.903,45.284,56.207,56.063,56.694,36.225,62.185,64.668,51.573,55.835,53.386,45.366,49.213,69.5547804878049,68.698,69.9512195121951,60.217,67.527,62.928,65.018,65.6371707317073,54.07,54.038,59.076,63.935,37.796,54.876,50.856,56.455
9,67.168,36.91,39.829,63.923,58.76,64.859,63.656,69.535,70.9687804878049,69.8331707317073,58.599,42.874,70.7648780487805,41.849,38.857,49.172,70.43,63.475,65.646,66.2,70.9780243902439,62.77,68.211,46.215,56.748,68.44,63.553,39.127,54.684,44.442,72.5014634146341,72.6126829268293,71.508,61.905,55.738,43.643,46.821,42.976,53.195,61.216,44.158,53.736,65.016,67.936,67.9443170731707,68.49,69.3670731707317,70.2288048780488,46.982,63.698,73.2209756097561,55.513,42.781,56.654,49.797,40.722,71.0575609756098,69.2659024390244,42.83,69.5034146341464,61.538,71.4585365853659,72.229304922226,60.662,51.957,71.7219512195122,64.205,47.565,70.006,38.723,39.349,37.746,30.076,72.0043414634146,65.857,60.152664311865124,48.548,64.545,60.38,70.5685609756098,53.896,68.6602926829268,46.915,69.3146341463415,52.354,65.193,47.857,70.8528292682927,49.438,59.32,73.7763414634147,70.9704878048781,70.8119512195122,66.381,60.444,71.8580487804878,60.1911707317073,53.169,57.6715365853659,46.241,53.88,60.824,62.0510243902439,65.677,43.21,66.697,40.193,53.996,63.85,70.9523949697625,63.993,50.702,70.9285365853659,69.4807073170732,69.7968292682927,68.845,70.733,48.315,63.873,47.016,44.275,60.25,58.227,63.0265609756098,32.045,68.8092195121951,50.342,69.0066097560976,52.004,41.71,50.633,59.855,36.321,62.644,53.117,62.5804878048781,36.354,38.718,54.324,73.539512195122,73.6634146341463,42.334,59.972,71.4731707317073,46.684,53.749,64.662,55.255,61.798,51.414,69.719512195122,70.999,59.926,66.2781707317073,62.499,63.83387335043988,62.173,65.895,66.6920731707317,66.8762926829268,47.398,51.816,45.147,40.459,68.6862682926829,55.163,38.249,50.9,45.37,65.6410975609756,26.086,55.08,60.224,69.7953902439024,68.3609756097561,74.0848780487805,50.318,70.158,67.13023631322126,59.878,57.195,40.265,45.666,56.932,56.484,57.173,36.712,62.737,64.685,52.523,56.378,54.198,45.973,49.511,68.9756097560976,68.815,70.5073170731708,60.716,68.178,63.224,65.469,65.7591951219512,56.151,54.591,59.64,64.273,39.474,55.194,51.147,56.714
